#      x          Cp  
     1.00000    0.21811
     0.99462    0.19265
     0.98768    0.17459
     0.97991    0.15576
     0.97135    0.13653
     0.96209    0.11688
     0.95226    0.09715
     0.94202    0.07765
     0.93148    0.05865
     0.92074    0.04029
     0.90988    0.02265
     0.89893    0.00573
     0.88794   -0.01050
     0.87691   -0.02608
     0.86585   -0.04108
     0.85478   -0.05554
     0.84370   -0.06953
     0.83262   -0.08310
     0.82152   -0.09630
     0.81043   -0.10917
     0.79933   -0.12176
     0.78822   -0.13411
     0.77711   -0.14624
     0.76600   -0.15820
     0.75489   -0.17000
     0.74378   -0.18168
     0.73267   -0.19325
     0.72155   -0.20475
     0.71044   -0.21618
     0.69932   -0.22758
     0.68821   -0.23895
     0.67710   -0.25032
     0.66599   -0.26169
     0.65488   -0.27309
     0.64377   -0.28454
     0.63267   -0.29603
     0.62157   -0.30758
     0.61047   -0.31922
     0.59938   -0.33094
     0.58829   -0.34276
     0.57720   -0.35470
     0.56612   -0.36676
     0.55505   -0.37896
     0.54398   -0.39129
     0.53292   -0.40379
     0.52187   -0.41645
     0.51082   -0.42929
     0.49979   -0.44232
     0.48876   -0.45554
     0.47774   -0.46898
     0.46673   -0.48263
     0.45573   -0.49652
     0.44474   -0.51066
     0.43377   -0.52505
     0.42281   -0.53970
     0.41186   -0.55465
     0.40093   -0.56989
     0.39001   -0.58544
     0.37911   -0.60132
     0.36823   -0.61754
     0.35737   -0.63413
     0.34652   -0.65109
     0.33570   -0.66846
     0.32490   -0.68626
     0.31413   -0.70451
     0.30338   -0.72323
     0.29266   -0.74246
     0.28197   -0.76222
     0.27132   -0.78256
     0.26070   -0.80351
     0.25012   -0.82511
     0.23958   -0.84741
     0.22909   -0.87046
     0.21865   -0.89430
     0.20827   -0.91900
     0.19795   -0.94459
     0.18770   -0.97116
     0.17753   -0.99872
     0.16746   -1.02733
     0.15749   -1.05695
     0.14764   -1.08753
     0.13794   -1.11883
     0.12841   -1.15049
     0.11909   -1.18189
     0.11001   -1.21325
     0.10123   -1.25078
     0.09278   -1.32022
     0.08473   -1.46541
     0.07713   -1.50879
     0.07000   -1.55297
     0.06339   -1.59998
     0.05730   -1.64931
     0.05171   -1.70087
     0.04662   -1.75452
     0.04199   -1.81005
     0.03778   -1.86714
     0.03395   -1.92544
     0.03047   -1.98458
     0.02730   -2.04417
     0.02440   -2.10385
     0.02175   -2.16313
     0.01932   -2.22152
     0.01710   -2.27830
     0.01505   -2.33267
     0.01317   -2.38345
     0.01144   -2.42926
     0.00985   -2.46818
     0.00840   -2.49789
     0.00707   -2.51544
     0.00586   -2.51723
     0.00477   -2.49907
     0.00379   -2.45627
     0.00293   -2.38400
     0.00218   -2.27788
     0.00154   -2.13482
     0.00102   -1.95412
     0.00060   -1.73833
     0.00030   -1.49376
     0.00011   -1.23004
     0.00001   -0.95967
     0.00001   -0.69476
     0.00011   -0.43168
     0.00030   -0.17503
     0.00060    0.06624
     0.00102    0.28414
     0.00154    0.47301
     0.00218    0.62986
     0.00293    0.75480
     0.00379    0.84952
     0.00477    0.91766
     0.00586    0.96270
     0.00707    0.98882
     0.00840    0.99936
     0.00985    0.99758
     0.01144    0.98600
     0.01317    0.96694
     0.01505    0.94190
     0.01710    0.91252
     0.01932    0.87961
     0.02175    0.84424
     0.02440    0.80693
     0.02730    0.76828
     0.03047    0.72866
     0.03395    0.68842
     0.03778    0.64786
     0.04199    0.60723
     0.04662    0.56679
     0.05171    0.52682
     0.05730    0.48759
     0.06339    0.44940
     0.07000    0.41258
     0.07713    0.37739
     0.08473    0.34411
     0.09278    0.31290
     0.10123    0.28388
     0.11001    0.25707
     0.11909    0.23243
     0.12841    0.20989
     0.13794    0.18930
     0.14764    0.17054
     0.15749    0.15347
     0.16746    0.13793
     0.17753    0.12380
     0.18770    0.11095
     0.19795    0.09928
     0.20827    0.08866
     0.21865    0.07902
     0.22909    0.07026
     0.23958    0.06231
     0.25012    0.05511
     0.26070    0.04858
     0.27132    0.04268
     0.28197    0.03735
     0.29266    0.03255
     0.30338    0.02823
     0.31413    0.02437
     0.32490    0.02091
     0.33570    0.01784
     0.34652    0.01512
     0.35737    0.01273
     0.36823    0.01064
     0.37911    0.00883
     0.39001    0.00728
     0.40093    0.00598
     0.41186    0.00490
     0.42281    0.00403
     0.43377    0.00335
     0.44474    0.00285
     0.45573    0.00253
     0.46673    0.00237
     0.47774    0.00235
     0.48876    0.00248
     0.49979    0.00273
     0.51082    0.00312
     0.52187    0.00362
     0.53292    0.00423
     0.54398    0.00496
     0.55505    0.00578
     0.56612    0.00671
     0.57720    0.00774
     0.58829    0.00887
     0.59938    0.01009
     0.61047    0.01141
     0.62157    0.01282
     0.63267    0.01433
     0.64377    0.01594
     0.65488    0.01766
     0.66599    0.01948
     0.67710    0.02142
     0.68821    0.02347
     0.69932    0.02566
     0.71044    0.02798
     0.72155    0.03045
     0.73267    0.03309
     0.74378    0.03591
     0.75489    0.03892
     0.76600    0.04215
     0.77711    0.04561
     0.78822    0.04934
     0.79933    0.05335
     0.81043    0.05766
     0.82152    0.06227
     0.83262    0.06716
     0.84370    0.07229
     0.85478    0.07752
     0.86585    0.08268
     0.87691    0.08753
     0.88794    0.09183
     0.89893    0.09547
     0.90988    0.09862
     0.92074    0.10133
     0.93148    0.10348
     0.94202    0.10512
     0.95226    0.10631
     0.96209    0.10715
     0.97135    0.10774
     0.97991    0.10817
     0.98768    0.13918
     0.99462    0.18871
     1.00000    0.21811
