#      x          Cp  
     1.00000    0.22443
     0.99476    0.19263
     0.98801    0.16645
     0.98047    0.13799
     0.97219    0.10830
     0.96326    0.07781
     0.95381    0.04734
     0.94396    0.01756
     0.93384   -0.01109
     0.92354   -0.03840
     0.91311   -0.06431
     0.90259   -0.08888
     0.89202   -0.11220
     0.88141   -0.13438
     0.87077   -0.15554
     0.86012   -0.17578
     0.84944   -0.19521
     0.83875   -0.21390
     0.82804   -0.23193
     0.81733   -0.24936
     0.80660   -0.26625
     0.79586   -0.28265
     0.78512   -0.29860
     0.77436   -0.31414
     0.76360   -0.32929
     0.75283   -0.34409
     0.74206   -0.35856
     0.73128   -0.37271
     0.72049   -0.38657
     0.70969   -0.40013
     0.69890   -0.41341
     0.68809   -0.42641
     0.67728   -0.43913
     0.66647   -0.45154
     0.65566   -0.46362
     0.64484   -0.47535
     0.63402   -0.48666
     0.62320   -0.49749
     0.61238   -0.50772
     0.60155   -0.51723
     0.59073   -0.52590
     0.57990   -0.53379
     0.56908   -0.54176
     0.55826   -0.55352
     0.54744   -0.57944
     0.53662   -0.63231
     0.52581   -0.68520
     0.51500   -0.69141
     0.50419   -0.69951
     0.49339   -0.70837
     0.48260   -0.71771
     0.47182   -0.72749
     0.46105   -0.73774
     0.45029   -0.74853
     0.43955   -0.75995
     0.42883   -0.77211
     0.41815   -0.78512
     0.40752   -0.79927
     0.39696   -0.81475
     0.38649   -0.83011
     0.37607   -0.84464
     0.36568   -0.85844
     0.35532   -0.87137
     0.34499   -0.88346
     0.33468   -0.89472
     0.32439   -0.90518
     0.31413   -0.91488
     0.30389   -0.92382
     0.29368   -0.93203
     0.28349   -0.93952
     0.27334   -0.94629
     0.26322   -0.95235
     0.25313   -0.95769
     0.24308   -0.96231
     0.23308   -0.96620
     0.22312   -0.96935
     0.21321   -0.97175
     0.20336   -0.97337
     0.19356   -0.97421
     0.18384   -0.97424
     0.17419   -0.97344
     0.16462   -0.97179
     0.15515   -0.96925
     0.14579   -0.96580
     0.13655   -0.96140
     0.12745   -0.95602
     0.11852   -0.94963
     0.10978   -0.94219
     0.10128   -0.93368
     0.09304   -0.92407
     0.08512   -0.91334
     0.07755   -0.90150
     0.07039   -0.88856
     0.06367   -0.87452
     0.05743   -0.85942
     0.05166   -0.84327
     0.04638   -0.82606
     0.04157   -0.80777
     0.03719   -0.78833
     0.03323   -0.76764
     0.02964   -0.74557
     0.02639   -0.72194
     0.02344   -0.69655
     0.02077   -0.66912
     0.01833   -0.63937
     0.01612   -0.60694
     0.01410   -0.57144
     0.01226   -0.53241
     0.01059   -0.48938
     0.00906   -0.44175
     0.00767   -0.38892
     0.00640   -0.33023
     0.00526   -0.26507
     0.00423   -0.19278
     0.00332   -0.11283
     0.00251   -0.02498
     0.00180    0.07073
     0.00120    0.17371
     0.00070    0.28258
     0.00030    0.39508
     0.00001    0.50815
    -0.00019    0.61766
    -0.00029    0.71887
    -0.00029    0.80890
    -0.00020    0.88568
    -0.00001    0.94505
     0.00029    0.98371
     0.00071    0.99960
     0.00124    0.99257
     0.00189    0.96441
     0.00267    0.91897
     0.00356    0.86072
     0.00458    0.79468
     0.00572    0.72486
     0.00697    0.65475
     0.00835    0.58660
     0.00985    0.52198
     0.01148    0.46174
     0.01324    0.40627
     0.01515    0.35563
     0.01721    0.30971
     0.01944    0.26826
     0.02185    0.23099
     0.02447    0.19762
     0.02732    0.16783
     0.03042    0.14136
     0.03381    0.11796
     0.03752    0.09742
     0.04160    0.07956
     0.04609    0.06423
     0.05104    0.05131
     0.05649    0.04070
     0.06248    0.03232
     0.06904    0.02606
     0.07618    0.02180
     0.08389    0.01940
     0.09214    0.01867
     0.10088    0.01942
     0.11005    0.02142
     0.11959    0.02445
     0.12944    0.02830
     0.13954    0.03279
     0.14986    0.03775
     0.16036    0.04307
     0.17100    0.04861
     0.18177    0.05430
     0.19265    0.06006
     0.20362    0.06582
     0.21467    0.07154
     0.22579    0.07717
     0.23698    0.08267
     0.24823    0.08801
     0.25953    0.09317
     0.27087    0.09810
     0.28224    0.10279
     0.29362    0.10721
     0.30501    0.11133
     0.31638    0.11512
     0.32773    0.11855
     0.33906    0.12160
     0.35036    0.12423
     0.36165    0.12638
     0.37293    0.12797
     0.38420    0.12891
     0.39548    0.12890
     0.40679    0.12748
     0.41813    0.12655
     0.42949    0.12634
     0.44087    0.12655
     0.45227    0.12712
     0.46368    0.12796
     0.47511    0.12902
     0.48654    0.13023
     0.49799    0.13157
     0.50944    0.13300
     0.52088    0.13449
     0.53232    0.13603
     0.54375    0.13760
     0.55518    0.13918
     0.56660    0.14077
     0.57801    0.14236
     0.58941    0.14394
     0.60080    0.14550
     0.61219    0.14704
     0.62358    0.14855
     0.63496    0.15004
     0.64633    0.15151
     0.65770    0.15295
     0.66906    0.15436
     0.68043    0.15575
     0.69178    0.15711
     0.70314    0.15845
     0.71450    0.15978
     0.72585    0.16110
     0.73720    0.16242
     0.74855    0.16374
     0.75990    0.16507
     0.77125    0.16642
     0.78260    0.16781
     0.79395    0.16925
     0.80530    0.17077
     0.81665    0.17237
     0.82800    0.17409
     0.83935    0.17595
     0.85069    0.17800
     0.86204    0.18027
     0.87338    0.18281
     0.88470    0.18567
     0.89601    0.18887
     0.90727    0.19245
     0.91845    0.19635
     0.92952    0.20047
     0.94040    0.20455
     0.95099    0.20824
     0.96113    0.21119
     0.97069    0.21333
     0.97950    0.21494
     0.98746    0.21599
     0.99454    0.21646
     1.00000    0.22443
