#      x          Cp  
     1.00000   -0.08395
     0.99476   -0.08520
     0.98801   -0.08722
     0.98047   -0.08951
     0.97219   -0.09209
     0.96326   -0.09491
     0.95381   -0.09793
     0.94396   -0.10112
     0.93384   -0.10444
     0.92354   -0.10787
     0.91311   -0.11139
     0.90259   -0.11498
     0.89202   -0.11864
     0.88141   -0.12236
     0.87077   -0.12613
     0.86012   -0.12996
     0.84944   -0.13383
     0.83875   -0.13775
     0.82804   -0.14171
     0.81733   -0.14571
     0.80660   -0.14973
     0.79586   -0.15377
     0.78512   -0.15780
     0.77436   -0.16180
     0.76360   -0.16570
     0.75283   -0.16941
     0.74206   -0.17277
     0.73128   -0.17546
     0.72049   -0.17697
     0.70969   -0.17720
     0.69890   -0.18248
     0.68809   -0.19351
     0.67728   -0.20787
     0.66647   -0.22539
     0.65566   -0.24585
     0.64484   -0.26900
     0.63402   -0.29456
     0.62320   -0.32220
     0.61238   -0.35163
     0.60155   -0.38253
     0.59073   -0.41462
     0.57990   -0.44765
     0.56908   -0.48139
     0.55826   -0.51567
     0.54744   -0.55036
     0.53662   -0.58537
     0.52581   -0.62063
     0.51500   -0.65613
     0.50419   -0.69186
     0.49339   -0.72785
     0.48260   -0.76415
     0.47182   -0.80083
     0.46105   -0.83798
     0.45029   -0.87572
     0.43955   -0.91420
     0.42883   -0.95365
     0.41815   -0.99427
     0.40752   -1.03687
     0.39696   -1.08175
     0.38649   -1.12543
     0.37607   -1.16753
     0.36568   -1.20908
     0.35532   -1.25007
     0.34499   -1.29073
     0.33468   -1.33117
     0.32439   -1.37152
     0.31413   -1.41185
     0.30389   -1.45226
     0.29368   -1.49283
     0.28349   -1.53365
     0.27334   -1.57480
     0.26322   -1.61637
     0.25313   -1.65846
     0.24308   -1.70118
     0.23308   -1.74462
     0.22312   -1.78893
     0.21321   -1.83423
     0.20336   -1.88069
     0.19356   -1.92847
     0.18384   -1.97778
     0.17419   -2.02884
     0.16462   -2.08189
     0.15515   -2.13724
     0.14579   -2.19519
     0.13655   -2.25611
     0.12745   -2.32038
     0.11852   -2.38843
     0.10978   -2.46071
     0.10128   -2.53764
     0.09304   -2.61965
     0.08512   -2.70706
     0.07755   -2.80009
     0.07039   -2.89878
     0.06367   -3.00294
     0.05743   -3.11213
     0.05166   -3.22563
     0.04638   -3.34231
     0.04157   -3.46049
     0.03719   -3.57765
     0.03323   -3.69012
     0.02964   -3.79471
     0.02639   -3.90324
     0.02344   -4.11597
     0.02077   -4.73428
     0.01833   -5.19410
     0.01612   -5.26051
     0.01410   -5.32441
     0.01226   -5.39380
     0.01059   -5.47575
     0.00906   -5.57666
     0.00767   -5.69956
     0.00640   -5.84473
     0.00526   -6.01159
     0.00423   -6.18872
     0.00332   -6.36145
     0.00251   -6.51670
     0.00180   -6.64263
     0.00120   -6.72733
     0.00070   -6.75883
     0.00030   -6.72528
     0.00001   -6.61631
    -0.00019   -6.42600
    -0.00029   -6.15515
    -0.00029   -5.80516
    -0.00020   -5.37720
    -0.00001   -4.88411
     0.00029   -4.34779
     0.00071   -3.77401
     0.00124   -3.17982
     0.00189   -2.58878
     0.00267   -2.02421
     0.00356   -1.50463
     0.00458   -1.04137
     0.00572   -0.63911
     0.00697   -0.29732
     0.00835   -0.01195
     0.00985    0.22291
     0.01148    0.41381
     0.01324    0.56712
     0.01515    0.68875
     0.01721    0.78379
     0.01944    0.85679
     0.02185    0.91127
     0.02447    0.95054
     0.02732    0.97691
     0.03042    0.99269
     0.03381    0.99946
     0.03752    0.99874
     0.04160    0.99168
     0.04609    0.97940
     0.05104    0.96266
     0.05649    0.94246
     0.06248    0.91941
     0.06904    0.89443
     0.07618    0.86813
     0.08389    0.84129
     0.09214    0.81450
     0.10088    0.78830
     0.11005    0.76309
     0.11959    0.73914
     0.12944    0.71660
     0.13954    0.69554
     0.14986    0.67593
     0.16036    0.65772
     0.17100    0.64082
     0.18177    0.62513
     0.19265    0.61055
     0.20362    0.59698
     0.21467    0.58431
     0.22579    0.57245
     0.23698    0.56132
     0.24823    0.55082
     0.25953    0.54088
     0.27087    0.53144
     0.28224    0.52243
     0.29362    0.51378
     0.30501    0.50545
     0.31638    0.49739
     0.32773    0.48952
     0.33906    0.48178
     0.35036    0.47411
     0.36165    0.46642
     0.37293    0.45860
     0.38420    0.45053
     0.39548    0.44186
     0.40679    0.43193
     0.41813    0.42270
     0.42949    0.41433
     0.44087    0.40647
     0.45227    0.39903
     0.46368    0.39191
     0.47511    0.38505
     0.48654    0.37838
     0.49799    0.37189
     0.50944    0.36553
     0.52088    0.35927
     0.53232    0.35311
     0.54375    0.34701
     0.55518    0.34097
     0.56660    0.33495
     0.57801    0.32895
     0.58941    0.32296
     0.60080    0.31694
     0.61219    0.31090
     0.62358    0.30481
     0.63496    0.29867
     0.64633    0.29246
     0.65770    0.28615
     0.66906    0.27975
     0.68043    0.27324
     0.69178    0.26659
     0.70314    0.25979
     0.71450    0.25283
     0.72585    0.24569
     0.73720    0.23834
     0.74855    0.23076
     0.75990    0.22294
     0.77125    0.21484
     0.78260    0.20642
     0.79395    0.19767
     0.80530    0.18853
     0.81665    0.17896
     0.82800    0.16890
     0.83935    0.15829
     0.85069    0.14705
     0.86204    0.13508
     0.87338    0.12227
     0.88470    0.10846
     0.89601    0.09348
     0.90727    0.07709
     0.91845    0.05899
     0.92952    0.03880
     0.94040    0.01602
     0.95099   -0.00998
     0.96113   -0.04003
     0.97069   -0.07509
     0.97950   -0.11705
     0.98746   -0.16068
     0.99454   -0.22356
     1.00000   -0.08395
