# Force coefficients
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf       : 1.50000000e+01
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e-02
# CofR          : (2.50000000e-01 0.00000000e+00 0.00000000e+00)
# Time          	Cm              	Cd              	Cl              	Cl(f)           	Cl(r)           
0               	5.53178018e-16	5.02640530e-01	2.31015173e-15	1.70825388e-15	6.01897848e-16
1               	4.16644968e-04	1.41285026e+00	1.13454458e-03	9.83917256e-04	1.50627320e-04
2               	5.14843438e-03	1.49614923e+00	1.26894011e-03	5.78290444e-03	-4.51396433e-03
3               	1.24398035e-03	1.18946063e+00	-2.65103141e-02	-1.20111767e-02	-1.44991374e-02
4               	-2.35815084e-03	6.65157160e-01	-6.28429647e-02	-3.37796332e-02	-2.90633315e-02
5               	-2.65729916e-03	1.30951072e-01	-8.61317630e-02	-4.57231807e-02	-4.04085824e-02
6               	-1.54209927e-03	-2.47845353e-01	-9.10103405e-02	-4.70472695e-02	-4.39630710e-02
7               	-8.39700692e-05	-4.15610848e-01	-7.21238702e-02	-3.61459052e-02	-3.59779650e-02
8               	2.13286735e-03	-4.05999140e-01	-3.29751518e-02	-1.43547086e-02	-1.86204433e-02
9               	6.43091369e-03	-2.85300884e-01	1.26232252e-02	1.27425263e-02	-1.19301076e-04
10              	8.20330153e-03	-1.19608000e-01	5.31194283e-02	3.47630157e-02	1.83564126e-02
11              	6.60073593e-03	3.44397219e-02	7.50670950e-02	4.41342834e-02	3.09328116e-02
12              	2.89824160e-03	1.36707204e-01	7.53718726e-02	4.05841779e-02	3.47876947e-02
13              	-1.19197489e-03	1.78787027e-01	5.63771831e-02	2.69966167e-02	2.93805664e-02
14              	-4.55811811e-03	1.66950003e-01	2.47533254e-02	7.81854459e-03	1.69347808e-02
15              	-6.77509519e-03	1.25837911e-01	-8.43316199e-03	-1.09916762e-02	2.55851420e-03
16              	-6.84383533e-03	7.62268465e-02	-3.63021952e-02	-2.49949329e-02	-1.13072623e-02
17              	-4.51730748e-03	3.18100080e-02	-5.40079332e-02	-3.15212741e-02	-2.24866591e-02
18              	-1.00253242e-03	1.65734934e-03	-5.85356814e-02	-3.02703731e-02	-2.82653083e-02
19              	2.46555483e-03	-1.26265382e-02	-5.21069773e-02	-2.35879338e-02	-2.85190435e-02
20              	5.08023102e-03	-1.35214220e-02	-3.90753867e-02	-1.44574623e-02	-2.46179244e-02
21              	6.30093855e-03	-6.08928353e-03	-2.40743222e-02	-5.73622257e-03	-1.83380997e-02
22              	5.97064050e-03	4.67439411e-03	-1.12178731e-02	3.61703967e-04	-1.15795770e-02
23              	4.44157442e-03	1.50756697e-02	-2.63728822e-03	3.12293031e-03	-5.76021853e-03
24              	2.38905605e-03	2.28646931e-02	1.02178276e-03	2.89994743e-03	-1.87816467e-03
25              	4.45371629e-04	2.68502284e-02	-8.20494666e-05	4.04346895e-04	-4.86396362e-04
26              	-8.83139651e-04	2.75020949e-02	-4.01159111e-03	-2.88893521e-03	-1.12265590e-03
27              	-1.36026016e-03	2.57504792e-02	-9.44912655e-03	-6.08482344e-03	-3.36430312e-03
28              	-1.01144853e-03	2.27511644e-02	-1.48641729e-02	-8.44353497e-03	-6.42063792e-03
29              	-6.24039415e-05	1.95206214e-02	-1.91929223e-02	-9.65886507e-03	-9.53405719e-03
30              	1.10243219e-03	1.68086448e-02	-2.15927555e-02	-9.69394556e-03	-1.18988099e-02
31              	2.14202432e-03	1.49687481e-02	-2.18228181e-02	-8.76938474e-03	-1.30534334e-02
32              	2.86163289e-03	1.40234287e-02	-2.03804095e-02	-7.32857187e-03	-1.30518376e-02
33              	3.18698258e-03	1.37311940e-02	-1.79195557e-02	-5.77279525e-03	-1.21467604e-02
34              	3.06497082e-03	1.38459230e-02	-1.48897744e-02	-4.37991637e-03	-1.05098580e-02
35              	2.57780773e-03	1.40524867e-02	-1.15860499e-02	-3.21521721e-03	-8.37083266e-03
36              	1.87461085e-03	1.41250196e-02	-8.26080480e-03	-2.25579155e-03	-6.00501325e-03
37              	1.13113146e-03	1.39144307e-02	-5.04954595e-03	-1.39364152e-03	-3.65590443e-03
38              	4.95746399e-04	1.34224678e-02	-2.17527279e-03	-5.91889998e-04	-1.58338280e-03
39              	5.05370072e-05	1.27302799e-02	2.52846573e-04	1.76960294e-04	7.58862795e-05
40              	-1.69424843e-04	1.19919237e-02	2.08752776e-03	8.74339038e-04	1.21318872e-03
41              	-1.71428881e-04	1.13089234e-02	3.28193964e-03	1.46954094e-03	1.81239870e-03
42              	2.90683830e-05	1.07053545e-02	3.69776375e-03	1.87795026e-03	1.81981349e-03
43              	3.41236633e-04	1.02805311e-02	3.41458408e-03	2.04852867e-03	1.36605541e-03
44              	6.66048686e-04	1.00695871e-02	2.57916677e-03	1.95563207e-03	6.23534700e-04
45              	9.17665696e-04	1.00688967e-02	1.47610887e-03	1.65572013e-03	-1.79611261e-04
46              	1.04807407e-03	1.02337302e-02	4.47421475e-04	1.27178481e-03	-8.24363333e-04
47              	1.04945847e-03	1.05012102e-02	-2.64098174e-04	9.17409383e-04	-1.18150756e-03
48              	9.39768653e-04	1.08133211e-02	-5.38773546e-04	6.70381880e-04	-1.20915543e-03
49              	7.45284588e-04	1.11416803e-02	-3.87358726e-04	5.51605225e-04	-9.38963951e-04
50              	5.07804583e-04	1.14326460e-02	1.50504189e-04	5.83056678e-04	-4.32552489e-04
51              	2.69976701e-04	1.16552445e-02	9.64004339e-04	7.51978871e-04	2.12025468e-04
52              	6.82718690e-05	1.17955456e-02	1.95893706e-03	1.04774040e-03	9.11196661e-04
53              	-6.68422683e-05	1.18327331e-02	2.99843341e-03	1.43237444e-03	1.56605897e-03
54              	-1.18879097e-04	1.17513224e-02	3.94377298e-03	1.85300739e-03	2.09076559e-03
55              	-8.86960241e-05	1.15692665e-02	4.62120307e-03	2.22190551e-03	2.39929756e-03
56              	-8.04640858e-06	1.13481541e-02	4.92654527e-03	2.45522623e-03	2.47131904e-03
57              	9.55734933e-05	1.11348695e-02	4.88196547e-03	2.53655623e-03	2.34540924e-03
58              	1.98300736e-04	1.09603854e-02	4.57290342e-03	2.48475245e-03	2.08815097e-03
59              	2.84212536e-04	1.08354846e-02	4.07139794e-03	2.31991150e-03	1.75148643e-03
60              	3.43839273e-04	1.07633338e-02	3.40897315e-03	2.04832585e-03	1.36064730e-03
61              	3.63821855e-04	1.07455547e-02	2.66455062e-03	1.69609717e-03	9.68453455e-04
62              	3.41125192e-04	1.07726978e-02	1.95710371e-03	1.31967705e-03	6.37426665e-04
63              	2.87635229e-04	1.08186325e-02	1.42291288e-03	9.99091669e-04	4.23821211e-04
64              	2.12372245e-04	1.08718895e-02	1.09553860e-03	7.60141542e-04	3.35397053e-04
65              	1.33414111e-04	1.09053615e-02	9.63208368e-04	6.15018295e-04	3.48190073e-04
66              	6.23591876e-05	1.09087800e-02	9.56673793e-04	5.40696084e-04	4.15977709e-04
67              	4.37596790e-06	1.08786552e-02	1.03429916e-03	5.21525548e-04	5.12773612e-04
68              	-3.46181197e-05	1.08132997e-02	1.11877674e-03	5.24770249e-04	5.94006489e-04
69              	-5.80546272e-05	1.07198358e-02	1.12086844e-03	5.02379594e-04	6.18488848e-04
70              	-7.00203564e-05	1.06047379e-02	9.63867685e-04	4.11913486e-04	5.51954199e-04
71              	-7.85367477e-05	1.04736890e-02	6.00247966e-04	2.21587235e-04	3.78660731e-04
72              	-9.05952809e-05	1.03367894e-02	7.19152828e-05	-5.46376395e-05	1.26552922e-04
73              	-1.08075434e-04	1.01984286e-02	-5.43522035e-04	-3.79836452e-04	-1.63685583e-04
74              	-1.33292171e-04	1.00641346e-02	-1.18237207e-03	-7.24478205e-04	-4.57893864e-04
75              	-1.66156701e-04	9.93744504e-03	-1.77230297e-03	-1.05230819e-03	-7.19994785e-04
76              	-2.05937932e-04	9.82254143e-03	-2.25868743e-03	-1.33528165e-03	-9.23405782e-04
77              	-2.46825711e-04	9.71950709e-03	-2.57864055e-03	-1.53614598e-03	-1.04249456e-03
78              	-2.90183050e-04	9.63476221e-03	-2.74086400e-03	-1.66061505e-03	-1.08024895e-03
79              	-3.39943992e-04	9.56940296e-03	-2.84597713e-03	-1.76293256e-03	-1.08304457e-03
80              	-3.87937048e-04	9.51871278e-03	-2.85001761e-03	-1.81294585e-03	-1.03707176e-03
81              	-4.23142323e-04	9.46780147e-03	-2.77727189e-03	-1.81177827e-03	-9.65493623e-04
82              	-4.31566618e-04	9.39803735e-03	-2.62835357e-03	-1.74574340e-03	-8.82610169e-04
83              	-4.16788069e-04	9.30855572e-03	-2.40623352e-03	-1.61990483e-03	-7.86328691e-04
84              	-3.86374366e-04	9.20338236e-03	-2.17084571e-03	-1.47179722e-03	-6.99048491e-04
85              	-3.66568386e-04	9.10004718e-03	-2.03711891e-03	-1.38512784e-03	-6.51991071e-04
86              	-3.74001158e-04	9.01290164e-03	-2.03698002e-03	-1.39249117e-03	-6.44488853e-04
87              	-4.12858403e-04	8.94414840e-03	-2.17788814e-03	-1.50180248e-03	-6.76085669e-04
88              	-4.73560289e-04	8.88947659e-03	-2.36626045e-03	-1.65669051e-03	-7.09569936e-04
89              	-5.54413445e-04	8.84155183e-03	-2.62021821e-03	-1.86452255e-03	-7.55695661e-04
90              	-6.46364351e-04	8.78784115e-03	-2.91111583e-03	-2.10192227e-03	-8.09193565e-04
91              	-7.40128598e-04	8.72840102e-03	-3.24092037e-03	-2.36058879e-03	-8.80331588e-04
92              	-8.28582854e-04	8.66696265e-03	-3.54699106e-03	-2.60207838e-03	-9.44912676e-04
93              	-9.01490796e-04	8.60582397e-03	-3.75733286e-03	-2.78015723e-03	-9.77175634e-04
94              	-9.65603710e-04	8.55039236e-03	-3.92084501e-03	-2.92602621e-03	-9.94818793e-04
95              	-1.01648086e-03	8.50493774e-03	-3.99337150e-03	-3.01316661e-03	-9.80204889e-04
96              	-1.05298441e-03	8.46804636e-03	-3.98461038e-03	-3.04528960e-03	-9.39320784e-04
97              	-1.07192308e-03	8.43432308e-03	-3.88192682e-03	-3.01288648e-03	-8.69040333e-04
98              	-1.11185304e-03	8.41435137e-03	-3.88246304e-03	-3.05308455e-03	-8.29378483e-04
99              	-1.17334013e-03	8.40086968e-03	-3.97426533e-03	-3.16047280e-03	-8.13792538e-04
100             	-1.27029510e-03	8.39396221e-03	-4.24687376e-03	-3.39373198e-03	-8.53141775e-04
101             	-1.36774254e-03	8.37048523e-03	-4.59589936e-03	-3.66569222e-03	-9.30207134e-04
102             	-1.39802114e-03	8.31328069e-03	-4.69186076e-03	-3.74395152e-03	-9.47909245e-04
103             	-1.32660551e-03	8.21923896e-03	-4.34290228e-03	-3.49805665e-03	-8.44845629e-04
104             	-1.12089198e-03	8.08786952e-03	-3.36723887e-03	-2.80451142e-03	-5.62727452e-04
105             	-9.29710606e-04	7.97198181e-03	-2.31540332e-03	-2.08741227e-03	-2.27991054e-04
106             	-8.38106304e-04	7.89940673e-03	-1.51555845e-03	-1.59588553e-03	8.03270764e-05
107             	-7.97067428e-04	7.84703920e-03	-8.25227698e-04	-1.20968128e-03	3.84453579e-04
108             	-7.48867265e-04	7.79374967e-03	-2.96690820e-05	-7.63701806e-04	7.34032724e-04
109             	-6.89753106e-04	7.73848236e-03	8.43583666e-04	-2.67961272e-04	1.11154494e-03
110             	-5.93850051e-04	7.67040683e-03	1.86970468e-03	3.41002290e-04	1.52870239e-03
111             	-4.37637506e-04	7.57719318e-03	3.08495371e-03	1.10483935e-03	1.98011436e-03
112             	-2.69020669e-04	7.47763024e-03	4.17350168e-03	1.81773017e-03	2.35577151e-03
113             	-2.24634522e-04	7.41834365e-03	4.42017551e-03	1.98545323e-03	2.43472228e-03
114             	-3.22534824e-04	7.39151790e-03	3.67665544e-03	1.51579290e-03	2.16086254e-03
115             	-5.01547801e-04	7.36822481e-03	2.17973332e-03	5.88318858e-04	1.59141446e-03
116             	-6.61251378e-04	7.31930073e-03	4.78909529e-04	-4.21796614e-04	9.00706143e-04
117             	-7.34608687e-04	7.23331013e-03	-9.68528264e-04	-1.21887282e-03	2.50344555e-04
118             	-6.85361973e-04	7.11023895e-03	-1.80478704e-03	-1.58775549e-03	-2.17031545e-04
119             	-5.37173605e-04	6.97011281e-03	-1.94892805e-03	-1.51163763e-03	-4.37290420e-04
120             	-3.27158821e-04	6.83291039e-03	-1.41735136e-03	-1.03583450e-03	-3.81516859e-04
121             	-1.08019534e-04	6.72032643e-03	-3.32430300e-04	-2.74234684e-04	-5.81956156e-05
122             	5.52072976e-05	6.65813751e-03	1.09113874e-03	6.00776669e-04	4.90362074e-04
123             	1.31281497e-04	6.64926899e-03	2.57107100e-03	1.41681700e-03	1.15425400e-03
124             	1.12407008e-04	6.68361998e-03	3.79064459e-03	2.00772930e-03	1.78291529e-03
125             	1.78024796e-05	6.74304951e-03	4.54696491e-03	2.29128493e-03	2.25567997e-03
126             	-9.37775740e-05	6.79220478e-03	4.77472949e-03	2.29358717e-03	2.48114232e-03
127             	-1.92309015e-04	6.82387432e-03	4.60948276e-03	2.11243236e-03	2.49705039e-03
128             	-2.50757731e-04	6.83215867e-03	4.23067556e-03	1.86458005e-03	2.36609551e-03
129             	-2.48365364e-04	6.81404625e-03	3.83673023e-03	1.66999975e-03	2.16673048e-03
130             	-1.93787170e-04	6.77998084e-03	3.56444291e-03	1.58843429e-03	1.97600863e-03
131             	-1.03275214e-04	6.74015029e-03	3.47324121e-03	1.63334539e-03	1.83989582e-03
132             	-4.19246774e-06	6.70804253e-03	3.54754117e-03	1.76957812e-03	1.77796305e-03
133             	8.02715619e-05	6.69394371e-03	3.73841987e-03	1.94948150e-03	1.78893837e-03
134             	1.31585281e-04	6.70230569e-03	3.95728450e-03	2.11022753e-03	1.84705697e-03
135             	1.46120084e-04	6.73239843e-03	4.14314645e-03	2.21769331e-03	1.92545314e-03
136             	1.31634903e-04	6.77867398e-03	4.26007113e-03	2.26167047e-03	1.99840066e-03
137             	1.01276415e-04	6.83373403e-03	4.29417202e-03	2.24836243e-03	2.04580960e-03
138             	7.06996287e-05	6.89120628e-03	4.27047983e-03	2.20593955e-03	2.06454029e-03
139             	4.61001695e-05	6.95045836e-03	4.21959844e-03	2.15589939e-03	2.06369905e-03
140             	3.05908609e-05	7.00669785e-03	4.12307819e-03	2.09212995e-03	2.03094823e-03
141             	2.09943609e-05	7.06412338e-03	4.01765161e-03	2.02982017e-03	1.98783145e-03
142             	1.36528498e-05	7.12524680e-03	3.91641448e-03	1.97186009e-03	1.94455439e-03
143             	7.95470327e-06	7.18917405e-03	3.82749501e-03	1.92170221e-03	1.90579280e-03
144             	1.03646353e-06	7.25780636e-03	3.75215103e-03	1.87711198e-03	1.87503905e-03
145             	-3.69719971e-06	7.32771998e-03	3.69759410e-03	1.84509985e-03	1.85249425e-03
146             	-4.81319862e-06	7.39811511e-03	3.65885507e-03	1.82461434e-03	1.83424073e-03
147             	-9.64787805e-07	7.46782126e-03	3.63113471e-03	1.81460257e-03	1.81653214e-03
148             	6.78928391e-06	7.53657778e-03	3.61059810e-03	1.81208833e-03	1.79850976e-03
