# Force coefficients
# liftDir       : (-3.48994967e-02 9.99390827e-01 0.00000000e+00)
# dragDir       : (9.99390827e-01 3.48994967e-02 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf       : 1.50000000e+01
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e-02
# CofR          : (2.50000000e-01 0.00000000e+00 0.00000000e+00)
# Time          	Cm              	Cd              	Cl              	Cl(f)           	Cl(r)           
0               	5.37294538e-03	5.02827774e-01	5.36197559e-03	8.05393318e-03	-2.69195759e-03
1               	6.35154930e-01	1.49702988e+00	2.28983458e+00	1.78007222e+00	5.09762359e-01
2               	8.38970641e-01	1.60713579e+00	3.08070314e+00	2.37932221e+00	7.01380928e-01
3               	7.36360116e-01	1.28197794e+00	2.77771425e+00	2.12521724e+00	6.52497009e-01
4               	4.32471424e-01	7.23407412e-01	1.73812260e+00	1.30153272e+00	4.36589876e-01
5               	8.63411893e-02	1.66365480e-01	5.04297987e-01	3.38490183e-01	1.65807804e-01
6               	-1.83943288e-01	-2.40318520e-01	-5.00452685e-01	-4.34169631e-01	-6.62830546e-02
7               	-3.18902205e-01	-4.30586445e-01	-1.04302519e+00	-8.40414801e-01	-2.02610392e-01
8               	-3.21756887e-01	-4.28696539e-01	-1.10700264e+00	-8.75258209e-01	-2.31744435e-01
9               	-2.39759087e-01	-3.07802103e-01	-8.51065792e-01	-6.65291982e-01	-1.85773809e-01
10              	-1.09382026e-01	-1.30237806e-01	-3.94059146e-01	-3.06411599e-01	-8.76475465e-02
11              	1.33915364e-02	3.48935242e-02	6.26818646e-02	4.47324687e-02	1.79493960e-02
12              	9.31079921e-02	1.44179112e-01	3.84307806e-01	2.85261895e-01	9.90459108e-02
13              	1.19165360e-01	1.87660489e-01	5.17815209e-01	3.78072964e-01	1.39742245e-01
14              	1.02972205e-01	1.75854381e-01	4.88384587e-01	3.47164498e-01	1.41220089e-01
15              	6.39524905e-02	1.34278149e-01	3.63919905e-01	2.45912443e-01	1.18007462e-01
