# Force coefficients
# liftDir       : (-2.50379913e-01 9.68147664e-01 0.00000000e+00)
# dragDir       : (9.68147664e-01 2.50379913e-01 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf       : 1.50000000e+01
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e-02
# CofR          : (2.50000000e-01 0.00000000e+00 0.00000000e+00)
# Time          	Cm              	Cd              	Cl              	Cl(f)           	Cl(r)           
3234            	-2.47839908e-02	4.74506634e-02	1.27877143e+00	6.14601723e-01	6.64169705e-01
3235            	-2.46456204e-02	4.75384061e-02	1.27930765e+00	6.15008206e-01	6.64299447e-01
3236            	-2.44069814e-02	4.77748195e-02	1.28023228e+00	6.15709157e-01	6.64523119e-01
3237            	-2.42293230e-02	4.79779870e-02	1.28100478e+00	6.16273066e-01	6.64731712e-01
3238            	-2.41182515e-02	4.81355199e-02	1.28158200e+00	6.16672748e-01	6.64909251e-01
3239            	-2.40500507e-02	4.82607869e-02	1.28206703e+00	6.16983463e-01	6.65083564e-01
3240            	-2.40245883e-02	4.83464159e-02	1.28243218e+00	6.17191503e-01	6.65240679e-01
3241            	-2.40453411e-02	4.83656492e-02	1.28259582e+00	6.17252568e-01	6.65343250e-01
3242            	-2.41038091e-02	4.83153346e-02	1.28254560e+00	6.17168989e-01	6.65376607e-01
3243            	-2.41798030e-02	4.82189660e-02	1.28232974e+00	6.16985066e-01	6.65344672e-01
3244            	-2.42706169e-02	4.80794818e-02	1.28197313e+00	6.16715950e-01	6.65257184e-01
3245            	-2.43506289e-02	4.79427352e-02	1.28160247e+00	6.16450605e-01	6.65151863e-01
3246            	-2.44267178e-02	4.77988173e-02	1.28120332e+00	6.16174945e-01	6.65028380e-01
3247            	-2.45080875e-02	4.76362565e-02	1.28073680e+00	6.15860313e-01	6.64876488e-01
3248            	-2.45755123e-02	4.75009115e-02	1.28033488e+00	6.15591929e-01	6.64742954e-01
3249            	-2.46221690e-02	4.74099622e-02	1.28005884e+00	6.15407251e-01	6.64651589e-01
