AoA_deg,Status,Reporting_method,Iteration,Cl,Cd,Cm_raw
0.0,FORMAL_CONVERGENCE,final_converged_iteration,1770,0.000577918684,0.0105487884,4.45975816e-05
2.0,FORMAL_CONVERGENCE,final_converged_iteration,1242,0.199660119,0.0110956958,-0.00271589292
4.0,FORMAL_CONVERGENCE,final_converged_iteration,1326,0.400071095,0.0125789199,-0.00521316481
6.0,FORMAL_CONVERGENCE,final_converged_iteration,1432,0.598561825,0.0149929678,-0.00776758076
8.0,FORMAL_CONVERGENCE,final_converged_iteration,1576,0.791178706,0.0184056079,-0.0107863079
10.0,FORMAL_CONVERGENCE,final_converged_iteration,1845,0.973897283,0.0229264556,-0.0145377761
12.0,FORMAL_CONVERGENCE,final_converged_iteration,2350,1.14065128,0.0286933768,-0.019252093
14.0,FORMAL_CONVERGENCE,final_converged_iteration,3234,1.27913681,0.0362897327,-0.0247839907
14.5,FORMAL_CONVERGENCE,final_converged_iteration,4102,1.32799888,0.0372335706,-0.024918588
15.0,FORMAL_CONVERGENCE,final_converged_iteration,5015,1.35940359,0.0394241644,-0.0258851796
15.5,FORMAL_CONVERGENCE,final_converged_iteration,5954,1.38447715,0.0420998867,-0.0267994865
16.0,FORMAL_CONVERGENCE,final_converged_iteration,6913,1.40438553,0.0452356225,-0.0274067357
