# Canonical merged NACA4412 V9 SST forceCoeffs history
# Restart overlap is resolved by retaining the later segment at duplicate iteration indices.
# Force coefficients
# liftDir       : (-1.73648178e-01 9.84807753e-01 0.00000000e+00)
# dragDir       : (9.84807753e-01 1.73648178e-01 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf       : 1.50000000e+01
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e-02
# CofR          : (2.50000000e-01 0.00000000e+00 0.00000000e+00)
# Time          	Cm              	Cd              	Cl              	Cl(f)           	Cl(r)           
0               	1.73157144e-02	5.14197453e-01	2.74003609e-02	3.10158949e-02	-3.61553402e-03
1               	4.38233666e+00	4.18127678e+00	1.24798615e+01	1.06222674e+01	1.85759409e+00
2               	5.76630897e+00	5.06298766e+00	1.67319871e+01	1.41323025e+01	2.59968456e+00
3               	5.04023101e+00	4.26481478e+00	1.49896596e+01	1.25350608e+01	2.45459878e+00
4               	3.03770293e+00	2.52154449e+00	9.53564382e+00	7.80552484e+00	1.73011898e+00
5               	7.42636939e-01	6.41785024e-01	3.10227375e+00	2.29377381e+00	8.08499936e-01
6               	-1.04483104e+00	-7.84776264e-01	-2.07408167e+00	-2.08187187e+00	7.79020397e-03
7               	-1.99035494e+00	-1.51136090e+00	-4.95003534e+00	-4.46537261e+00	-4.84662726e-01
8               	-2.04773232e+00	-1.53633545e+00	-5.35375608e+00	-4.72461036e+00	-6.29145725e-01
9               	-1.54654106e+00	-1.13277738e+00	-4.16577343e+00	-3.62942778e+00	-5.36345656e-01
10              	-7.26577869e-01	-4.96464268e-01	-2.00003493e+00	-1.72659533e+00	-2.73439597e-01
11              	4.24502996e-02	8.88373871e-02	1.39486012e-01	1.12193306e-01	2.72927064e-02
12              	5.46953539e-01	4.72065843e-01	1.64567240e+00	1.36978974e+00	2.75882662e-01
13              	7.45049406e-01	6.23008731e-01	2.33983969e+00	1.91496925e+00	4.24870437e-01
14              	6.96351216e-01	5.90722252e-01	2.34500292e+00	1.86885267e+00	4.76150243e-01
15              	4.94766234e-01	4.47703982e-01	1.90899683e+00	1.44926465e+00	4.59732181e-01
16              	2.25716070e-01	2.53535051e-01	1.23347783e+00	8.42454983e-01	3.91022842e-01
17              	-3.65071051e-03	8.45797535e-02	6.05218705e-01	2.98958642e-01	3.06260063e-01
18              	-1.50008948e-01	-2.73487985e-02	1.59099354e-01	-7.04592715e-02	2.29558625e-01
19              	-1.92733369e-01	-6.78546681e-02	-2.71550256e-02	-2.06310882e-01	1.79155856e-01
20              	-1.61173645e-01	-5.62623833e-02	-1.17338281e-02	-1.67040559e-01	1.55306731e-01
21              	-8.32497411e-02	-1.06931454e-02	1.42343914e-01	-1.20777839e-02	1.54421698e-01
22              	1.00514521e-02	4.77353468e-02	3.64828273e-01	1.92465588e-01	1.72362684e-01
23              	8.65565441e-02	9.75508180e-02	5.71675015e-01	3.72394051e-01	1.99280963e-01
24              	1.30921752e-01	1.28334611e-01	7.15657181e-01	4.88750342e-01	2.26906839e-01
25              	1.43419985e-01	1.39475154e-01	7.86878939e-01	5.36859454e-01	2.50019485e-01
26              	1.33118651e-01	1.36244718e-01	8.00035688e-01	5.33136495e-01	2.66899193e-01
27              	1.10661834e-01	1.24733517e-01	7.75214614e-01	4.98269141e-01	2.76945473e-01
28              	8.61896442e-02	1.10718244e-01	7.33913907e-01	4.53146598e-01	2.80767309e-01
29              	6.38252152e-02	9.65688330e-02	6.86800729e-01	4.07225580e-01	2.79575149e-01
30              	4.86258887e-02	8.55619522e-02	6.47971471e-01	3.72611624e-01	2.75359847e-01
31              	4.22828899e-02	7.91970099e-02	6.25149810e-01	3.54857795e-01	2.70292015e-01
32              	4.30178748e-02	7.69405395e-02	6.17794609e-01	3.51915179e-01	2.65879430e-01
33              	4.83483501e-02	7.75869939e-02	6.21959583e-01	3.59328142e-01	2.62631441e-01
34              	5.66481565e-02	8.04036301e-02	6.35906560e-01	3.74601437e-01	2.61305124e-01
35              	6.54042075e-02	8.41493611e-02	6.55550619e-01	3.93179517e-01	2.62371102e-01
36              	7.35795059e-02	8.81805898e-02	6.78559675e-01	4.12859343e-01	2.65700332e-01
37              	7.98651918e-02	9.16506656e-02	7.01256287e-01	4.30493335e-01	2.70762952e-01
38              	8.28398309e-02	9.35885772e-02	7.17947583e-01	4.41813623e-01	2.76133961e-01
39              	8.35046312e-02	9.43275050e-02	7.29603494e-01	4.48306378e-01	2.81297116e-01
40              	8.25678653e-02	9.41179265e-02	7.36852257e-01	4.50993994e-01	2.85858263e-01
41              	8.07424382e-02	9.32705847e-02	7.40660837e-01	4.51072857e-01	2.89587980e-01
42              	7.85623367e-02	9.20519587e-02	7.41850857e-01	4.49487765e-01	2.92363092e-01
43              	7.64539893e-02	9.07112015e-02	7.41296860e-01	4.47102419e-01	2.94194441e-01
44              	7.48710751e-02	8.95429058e-02	7.40158445e-01	4.44950298e-01	2.95208148e-01
45              	7.38571941e-02	8.86201000e-02	7.39115456e-01	4.43414922e-01	2.95700534e-01
46              	7.34993669e-02	8.80462534e-02	7.38889875e-01	4.42944304e-01	2.95945570e-01
47              	7.37819186e-02	8.78496784e-02	7.39986452e-01	4.43775144e-01	2.96211307e-01
48              	7.46489378e-02	8.80244434e-02	7.42713728e-01	4.46005802e-01	2.96707926e-01
49              	7.61322783e-02	8.86099750e-02	7.47590779e-01	4.49927668e-01	2.97663111e-01
50              	7.78521171e-02	8.94089380e-02	7.53835205e-01	4.54769720e-01	2.99065485e-01
51              	7.95758288e-02	9.02791945e-02	7.60860042e-01	4.60005850e-01	3.00854192e-01
52              	8.10932327e-02	9.10781013e-02	7.67955815e-01	4.65071140e-01	3.02884675e-01
53              	8.20742609e-02	9.15843419e-02	7.73686466e-01	4.68917494e-01	3.04768972e-01
54              	8.27597601e-02	9.19168082e-02	7.78771327e-01	4.72145424e-01	3.06625903e-01
55              	8.31600373e-02	9.20645227e-02	7.83037177e-01	4.74678626e-01	3.08358551e-01
56              	8.33204570e-02	9.20444549e-02	7.86447077e-01	4.76543995e-01	3.09903082e-01
57              	8.32987016e-02	9.18879423e-02	7.88924888e-01	4.77761146e-01	3.11163742e-01
58              	8.31760093e-02	9.16422701e-02	7.90801808e-01	4.78576913e-01	3.12224895e-01
59              	8.29775468e-02	9.13313537e-02	7.92318686e-01	4.79136890e-01	3.13181796e-01
60              	8.27337848e-02	9.09727059e-02	7.93565179e-01	4.79516374e-01	3.14048805e-01
61              	8.25364032e-02	9.06298996e-02	7.94527536e-01	4.79800171e-01	3.14727365e-01
62              	8.23799228e-02	9.03026678e-02	7.95432457e-01	4.80096151e-01	3.15336306e-01
63              	8.23351988e-02	9.00509694e-02	7.96293216e-01	4.80481807e-01	3.15811409e-01
64              	8.23681387e-02	8.98474345e-02	7.97238021e-01	4.80987149e-01	3.16250872e-01
65              	8.24838455e-02	8.96853430e-02	7.98427587e-01	4.81697639e-01	3.16729948e-01
66              	8.26810178e-02	8.95768540e-02	7.99901697e-01	4.82631866e-01	3.17269831e-01
67              	8.29780963e-02	8.95285859e-02	8.01782356e-01	4.83869274e-01	3.17913081e-01
68              	8.34939028e-02	8.95967348e-02	8.04593928e-01	4.85790867e-01	3.18803061e-01
69              	8.38854692e-02	8.96410423e-02	8.06995869e-01	4.87383404e-01	3.19612465e-01
70              	8.42752417e-02	8.96884015e-02	8.09514430e-01	4.89032457e-01	3.20481974e-01
71              	8.46435895e-02	8.97259821e-02	8.12105808e-01	4.90696494e-01	3.21409315e-01
72              	8.49112592e-02	8.97111129e-02	8.14419088e-01	4.92120803e-01	3.22298285e-01
73              	8.50854470e-02	8.96395798e-02	8.16484399e-01	4.93327646e-01	3.23156752e-01
74              	8.51751577e-02	8.95120530e-02	8.18332381e-01	4.94341348e-01	3.23991033e-01
75              	8.51926165e-02	8.93338566e-02	8.20002557e-01	4.95193895e-01	3.24808662e-01
