AoA_deg,Status,Reporting_method,Window_start,Window_end,Samples,Cl,Cd,Cm_raw,Cl_std,Cd_std,Cm_std,Cl_min,Cl_max,Cd_min,Cd_max,Cm_min,Cm_max
0.0,FORMAL_CONVERGENCE,final_converged_iteration,1102,1102,1,0.396798325,0.0126687337,0.0901534047,0.0,0.0,0.0,0.396798325,0.396798325,0.0126687337,0.0126687337,0.0901534047,0.0901534047
2.0,FORMAL_CONVERGENCE,final_converged_iteration,1215,1215,1,0.595974116,0.0147063087,0.0876786386,0.0,0.0,0.0,0.595974116,0.595974116,0.0147063087,0.0147063087,0.0876786386,0.0876786386
4.0,FORMAL_CONVERGENCE,final_converged_iteration,1309,1309,1,0.791239898,0.0175476716,0.0847063417,0.0,0.0,0.0,0.791239898,0.791239898,0.0175476716,0.0175476716,0.0847063417,0.0847063417
6.0,FORMAL_CONVERGENCE,final_converged_iteration,1461,1461,1,0.97850904,0.0211399437,0.0807753867,0.0,0.0,0.0,0.97850904,0.97850904,0.0211399437,0.0211399437,0.0807753867,0.0807753867
8.0,FORMAL_CONVERGENCE,final_converged_iteration,1625,1625,1,1.15499375,0.025675133,0.0759083907,0.0,0.0,0.0,1.15499375,1.15499375,0.025675133,0.025675133,0.0759083907,0.0759083907
10.0,FORMAL_CONVERGENCE,final_converged_iteration,1774,1774,1,1.31584472,0.0313558414,0.0699212021,0.0,0.0,0.0,1.31584472,1.31584472,0.0313558414,0.0313558414,0.0699212021,0.0699212021
12.0,FORMAL_CONVERGENCE,final_converged_iteration,2005,2005,1,1.45007675,0.0384631781,0.0623111062,0.0,0.0,0.0,1.45007675,1.45007675,0.0384631781,0.0384631781,0.0623111062,0.0623111062
14.0,FORMAL_CONVERGENCE,final_converged_iteration,3166,3166,1,1.56476008,0.0469718535,0.0553365906,0.0,0.0,0.0,1.56476008,1.56476008,0.0469718535,0.0469718535,0.0553365906,0.0553365906
14.5,FORMAL_CONVERGENCE,final_converged_iteration,9900,9900,1,1.59390299,0.0490992,0.0540917594,0.0,0.0,0.0,1.59390299,1.59390299,0.0490992,0.0490992,0.0540917594,0.0540917594
15.0,STABLE_ITERATIVE_PLATEAU_NOT_FORMAL,final_1000_iteration_mean,15001,16000,1000,1.6083353273299998,0.0523796501698,0.052298732905,0.0002077974760641483,7.639936955262487e-05,0.00010851123684665766,1.60806794,1.60866274,0.0522775265,0.0524974773,0.0521576148,0.0524674928
15.5,STABLE_ITERATIVE_PLATEAU_NOT_FORMAL,final_1000_iteration_mean,11001,12000,1000,1.6199761007,0.0561151838734,0.0509153392879,0.00037678725368707884,0.00016522802237759233,0.00019277543300825277,1.61943704,1.62067068,0.0558615096,0.0563798128,0.0506343265,0.051257221
16.0,STABLE_ITERATIVE_PLATEAU_NOT_FORMAL,final_1000_iteration_mean,11001,12000,1000,1.63200065314,0.0605189138525,0.0505755486146,0.0005845106010437042,0.00028705443491480834,0.00030907935864215864,1.63098657,1.63291115,0.060027415,0.0609675694,0.0500364684,0.0510775876
