# Force coefficients
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf       : 1.50000000e+01
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e-02
# CofR          : (2.50000000e-01 0.00000000e+00 0.00000000e+00)
# Time          	Cm              	Cd              	Cl              	Cl(f)           	Cl(r)           
0               	-9.63210102e-03	5.09140482e-01	1.27914649e-03	-8.99252777e-03	1.02716743e-02
1               	9.83744223e-01	1.70195792e+00	8.12670842e-01	1.39007964e+00	-5.77408802e-01
2               	1.26515795e+00	1.85305831e+00	1.04194440e+00	1.78613015e+00	-7.44185749e-01
3               	1.11133848e+00	1.49433510e+00	8.58205472e-01	1.54044121e+00	-6.82235742e-01
4               	6.91850152e-01	8.56820732e-01	4.51881271e-01	9.17790788e-01	-4.65909517e-01
5               	2.26437039e-01	2.11589882e-01	7.73654429e-02	2.65119760e-01	-1.87754318e-01
6               	-1.34004744e-01	-2.58569184e-01	-1.33658175e-01	-2.00833832e-01	6.71756570e-02
7               	-3.14012521e-01	-4.83931555e-01	-1.45664543e-01	-3.86844792e-01	2.41180249e-01
8               	-3.27782599e-01	-4.89092991e-01	-3.00313649e-02	-3.42798281e-01	3.12766916e-01
9               	-2.47724657e-01	-3.62340299e-01	8.61331534e-02	-2.04658080e-01	2.90791234e-01
10              	-9.69325007e-02	-1.60482899e-01	2.21454284e-01	1.37946414e-02	2.07659643e-01
11              	4.90450258e-02	2.89183048e-02	2.97709700e-01	1.97899876e-01	9.98098244e-02
12              	1.53209389e-01	1.57372374e-01	3.07864951e-01	3.07141865e-01	7.23086653e-04
13              	1.97768374e-01	2.10614747e-01	2.59080577e-01	3.27308663e-01	-6.82280850e-02
14              	1.96138852e-01	2.01181970e-01	1.95764401e-01	2.94021052e-01	-9.82566512e-02
15              	1.69842346e-01	1.57532146e-01	1.52813416e-01	2.46249054e-01	-9.34356384e-02
16              	1.29867221e-01	1.01067447e-01	1.30353571e-01	1.95044007e-01	-6.46904357e-02
17              	8.76190842e-02	4.82175474e-02	1.23702462e-01	1.49470315e-01	-2.57678532e-02
18              	5.55868028e-02	1.00880795e-02	1.30973688e-01	1.21073647e-01	9.90004119e-03
19              	3.95077584e-02	-9.33404441e-03	1.46682330e-01	1.12848923e-01	3.38334064e-02
20              	3.76466230e-02	-1.27282957e-02	1.62372723e-01	1.18832984e-01	4.35397384e-02
21              	4.52690086e-02	-5.07764138e-03	1.72503036e-01	1.31520527e-01	4.09825095e-02
22              	5.78420495e-02	7.29507429e-03	1.76308683e-01	1.45996391e-01	3.03122917e-02
23              	7.23056625e-02	2.02344841e-02	1.76982402e-01	1.60796863e-01	1.61855384e-02
24              	8.45369973e-02	3.03084924e-02	1.76103915e-01	1.72588955e-01	3.51496027e-03
25              	9.26844965e-02	3.62290857e-02	1.75352726e-01	1.80360859e-01	-5.00813357e-03
26              	9.69546077e-02	3.83880971e-02	1.77130478e-01	1.85519847e-01	-8.38936855e-03
27              	9.75009070e-02	3.74681247e-02	1.80752594e-01	1.87877204e-01	-7.12461001e-03
28              	9.52676584e-02	3.46796202e-02	1.85232075e-01	1.87883696e-01	-2.65162075e-03
29              	9.15934265e-02	3.12181323e-02	1.88964175e-01	1.86075514e-01	2.88866125e-03
30              	8.79649568e-02	2.79949763e-02	1.91675804e-01	1.83802859e-01	7.87294530e-03
31              	8.50207675e-02	2.54803165e-02	1.93038467e-01	1.81540001e-01	1.14984662e-02
32              	8.29661558e-02	2.37991691e-02	1.92859376e-01	1.79395844e-01	1.34635320e-02
33              	8.18695645e-02	2.28798022e-02	1.91164962e-01	1.77452046e-01	1.37129166e-02
34              	8.18773484e-02	2.25881118e-02	1.88929597e-01	1.76342147e-01	1.25874500e-02
35              	8.29049915e-02	2.27113799e-02	1.87462888e-01	1.76636436e-01	1.08264526e-02
36              	8.45748277e-02	2.30114180e-02	1.87548064e-01	1.78348859e-01	9.19920412e-03
37              	8.63710388e-02	2.32906746e-02	1.89134770e-01	1.80938424e-01	8.19634629e-03
38              	8.78751375e-02	2.34144591e-02	1.91623026e-01	1.83686650e-01	7.93637545e-03
39              	8.89888467e-02	2.33456309e-02	1.94601476e-01	1.86289585e-01	8.31189134e-03
40              	8.99100688e-02	2.31111005e-02	1.98557829e-01	1.89188983e-01	9.36884561e-03
41              	9.04312469e-02	2.27631625e-02	2.02453817e-01	1.91658156e-01	1.07956619e-02
42              	9.05782402e-02	2.23843866e-02	2.05719009e-01	1.93437745e-01	1.22812642e-02
