# Force coefficients
# liftDir       : (-1.04528463e-01 9.94521895e-01 0.00000000e+00)
# dragDir       : (9.94521895e-01 1.04528463e-01 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf       : 1.50000000e+01
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e-02
# CofR          : (2.50000000e-01 0.00000000e+00 0.00000000e+00)
# Time          	Cm              	Cd              	Cl              	Cl(f)           	Cl(r)           
0               	6.55396236e-03	5.11080300e-01	1.71769946e-02	1.51424596e-02	2.03453492e-03
1               	2.96898289e+00	2.67928868e+00	7.76812217e+00	6.85304398e+00	9.15078197e-01
2               	3.92484568e+00	3.11382566e+00	1.04914182e+01	9.17055479e+00	1.32086343e+00
3               	3.44341648e+00	2.57114035e+00	9.41631177e+00	8.15157237e+00	1.26473940e+00
4               	2.08522770e+00	1.48865673e+00	5.97510273e+00	5.07277906e+00	9.02323670e-01
5               	5.37277107e-01	3.62242151e-01	1.94710184e+00	1.51082803e+00	4.36273813e-01
6               	-6.72063210e-01	-4.72806144e-01	-1.26994637e+00	-1.30703639e+00	3.70900269e-02
7               	-1.29781193e+00	-8.78954564e-01	-3.00655867e+00	-2.80109126e+00	-2.05467409e-01
8               	-1.33581060e+00	-8.81366627e-01	-3.21231343e+00	-2.94196731e+00	-2.70346117e-01
9               	-1.00345503e+00	-6.37644572e-01	-2.45517071e+00	-2.23104039e+00	-2.24130320e-01
10              	-4.69022552e-01	-2.63027702e-01	-1.12920970e+00	-1.03362740e+00	-9.55822999e-02
11              	3.78773982e-02	6.89275294e-02	1.76601353e-01	1.26178075e-01	5.04232782e-02
12              	3.81748405e-01	2.86570154e-01	1.09862067e+00	9.31058741e-01	1.67561931e-01
13              	5.10501818e-01	3.63228585e-01	1.48377750e+00	1.25239057e+00	2.31386934e-01
14              	4.84396234e-01	3.39616000e-01	1.47681180e+00	1.22280214e+00	2.54009668e-01
15              	3.63691924e-01	2.61372303e-01	1.22516287e+00	9.76273361e-01	2.48889513e-01
16              	1.90679216e-01	1.54532355e-01	8.18504693e-01	5.99931563e-01	2.18573130e-01
17              	3.86817501e-02	6.10665715e-02	4.39175495e-01	2.58269497e-01	1.80905997e-01
18              	-6.13687774e-02	-9.85998661e-04	1.70564855e-01	2.39136502e-02	1.46651205e-01
19              	-9.66682035e-02	-2.57342441e-02	5.31461956e-02	-7.00951057e-02	1.23241301e-01
20              	-8.18285487e-02	-2.22274255e-02	5.92404484e-02	-5.22083245e-02	1.11448773e-01
21              	-3.74782950e-02	-1.88875458e-03	1.41588098e-01	3.33157540e-02	1.08272344e-01
22              	2.39259673e-02	2.85792869e-02	2.77435495e-01	1.62643715e-01	1.14791780e-01
23              	7.81231323e-02	5.60792841e-02	4.09428346e-01	2.82837305e-01	1.26591041e-01
24              	1.12987532e-01	7.44933256e-02	5.05786559e-01	3.65880812e-01	1.39905748e-01
25              	1.25315697e-01	8.19863271e-02	5.53907831e-01	4.02269612e-01	1.51638219e-01
26              	1.21580489e-01	8.14465888e-02	5.64979929e-01	4.04070454e-01	1.60909476e-01
27              	1.09062584e-01	7.62439890e-02	5.54460251e-01	3.86292709e-01	1.68167542e-01
28              	9.20922180e-02	6.83905905e-02	5.29675824e-01	3.56930130e-01	1.72745694e-01
29              	7.59056062e-02	6.03383872e-02	5.00714986e-01	3.26263099e-01	1.74451887e-01
30              	6.39025862e-02	5.37368597e-02	4.75265782e-01	3.01535477e-01	1.73730305e-01
31              	5.83647719e-02	4.98106942e-02	4.60442133e-01	2.88585838e-01	1.71856295e-01
32              	5.75898455e-02	4.80040234e-02	4.53027732e-01	2.84103711e-01	1.68924020e-01
33              	6.07142890e-02	4.80847227e-02	4.54730842e-01	2.88079710e-01	1.66651132e-01
34              	6.61425822e-02	4.93692080e-02	4.62438794e-01	2.97361979e-01	1.65076815e-01
35              	7.25782790e-02	5.13039930e-02	4.74793163e-01	3.09974860e-01	1.64818302e-01
36              	7.85281378e-02	5.32433725e-02	4.89240213e-01	3.23148245e-01	1.66091969e-01
37              	8.28499575e-02	5.46824358e-02	5.02971730e-01	3.34335822e-01	1.68635908e-01
38              	8.57358582e-02	5.55747676e-02	5.16150172e-01	3.43810944e-01	1.72339228e-01
39              	8.62565069e-02	5.56366503e-02	5.23961221e-01	3.48237118e-01	1.75724104e-01
40              	8.55590073e-02	5.52041175e-02	5.28956574e-01	3.50037294e-01	1.78919279e-01
41              	8.41471675e-02	5.44616330e-02	5.31702365e-01	3.49998350e-01	1.81704015e-01
