# Force coefficients
# liftDir       : (-2.67238376e-01 9.63630453e-01 0.00000000e+00)
# dragDir       : (9.63630453e-01 2.67238376e-01 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf       : 1.50000000e+01
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e-02
# CofR          : (2.50000000e-01 0.00000000e+00 0.00000000e+00)
# Time          	Cm              	Cd              	Cl              	Cl(f)           	Cl(r)           
0               	3.19647430e-02	5.20740114e-01	4.05477769e-02	5.22386315e-02	-1.16908546e-02
1               	6.37230020e+00	7.34636082e+00	1.87328311e+01	1.57387158e+01	2.99411537e+00
2               	8.27257954e+00	9.10230978e+00	2.47517617e+01	2.06484604e+01	4.10330129e+00
3               	7.19815080e+00	7.76767053e+00	2.20649310e+01	1.82306163e+01	3.83431472e+00
4               	4.32012029e+00	4.66222945e+00	1.39821974e+01	1.13112190e+01	2.67097842e+00
5               	9.90111569e-01	1.19919161e+00	4.41366805e+00	3.19694559e+00	1.21672245e+00
6               	-1.64202427e+00	-1.49714921e+00	-3.34581060e+00	-3.31492957e+00	-3.08810278e-02
7               	-3.02106126e+00	-2.90063994e+00	-7.63776758e+00	-6.83994505e+00	-7.97822527e-01
8               	-3.08778607e+00	-2.95656230e+00	-8.20280916e+00	-7.18919065e+00	-1.01361851e+00
9               	-2.31504695e+00	-2.18495878e+00	-6.35458101e+00	-5.49233746e+00	-8.62243551e-01
10              	-1.09726508e+00	-9.89374045e-01	-3.12241936e+00	-2.65847476e+00	-4.63944599e-01
11              	5.81787599e-02	1.33979367e-01	1.21338092e-01	1.18847806e-01	2.49028613e-03
12              	8.10478130e-01	8.74909341e-01	2.40948483e+00	2.01522055e+00	3.94264284e-01
13              	1.09680987e+00	1.16687062e+00	3.46260890e+00	2.82811432e+00	6.34494578e-01
14              	1.00988882e+00	1.10740457e+00	3.46770609e+00	2.74374186e+00	7.23964225e-01
15              	6.86073031e-01	8.26323682e-01	2.78422955e+00	2.07818781e+00	7.06041745e-01
16              	2.70868495e-01	4.49655173e-01	1.75118748e+00	1.14646224e+00	6.04725245e-01
17              	-7.62670213e-02	1.23261691e-01	7.97369663e-01	3.22417810e-01	4.74951853e-01
18              	-2.82042127e-01	-8.38281104e-02	1.43527956e-01	-2.10278149e-01	3.53806104e-01
19              	-3.38317797e-01	-1.58561727e-01	-1.39306536e-01	-4.07971065e-01	2.68664529e-01
20              	-2.93705366e-01	-1.38834138e-01	-1.41013993e-01	-3.64212362e-01	2.23198369e-01
21              	-1.84347962e-01	-6.06430710e-02	5.15512183e-02	-1.58572353e-01	2.10123571e-01
22              	-5.34685333e-02	4.34261731e-02	3.49032688e-01	1.21047811e-01	2.27984877e-01
23              	6.63206781e-02	1.45081872e-01	6.66745919e-01	3.99693637e-01	2.67052281e-01
24              	1.47045907e-01	2.18665625e-01	9.22639531e-01	6.08365673e-01	3.14273858e-01
25              	1.76209708e-01	2.51120420e-01	1.06125725e+00	7.06838334e-01	3.54418918e-01
26              	1.68388960e-01	2.52774281e-01	1.10220487e+00	7.19491393e-01	3.82713474e-01
27              	1.40235044e-01	2.37114768e-01	1.08610220e+00	6.83286146e-01	4.02816058e-01
28              	1.01626314e-01	2.10504018e-01	1.02884370e+00	6.16048164e-01	4.12795535e-01
29              	6.41967231e-02	1.81292706e-01	9.54620906e-01	5.41507176e-01	4.13113730e-01
30              	3.55172169e-02	1.55907246e-01	8.84054322e-01	4.77544378e-01	4.06509944e-01
31              	1.90856896e-02	1.37927484e-01	8.30440244e-01	4.34305811e-01	3.96134432e-01
32              	1.72380463e-02	1.31230432e-01	8.09643572e-01	4.22059832e-01	3.87583740e-01
33              	2.32069308e-02	1.30479627e-01	8.07812781e-01	4.27113321e-01	3.80699460e-01
34              	3.44273239e-02	1.34305242e-01	8.22580573e-01	4.45717610e-01	3.76862962e-01
35              	4.75977520e-02	1.41010921e-01	8.49367048e-01	4.72281276e-01	3.77085772e-01
36              	6.10484441e-02	1.49522865e-01	8.84953418e-01	5.03525153e-01	3.81428265e-01
37              	7.19554508e-02	1.57700466e-01	9.21893409e-01	5.32902155e-01	3.88991253e-01
38              	7.95748395e-02	1.64635383e-01	9.56750870e-01	5.57950275e-01	3.98800595e-01
39              	8.22562418e-02	1.68272479e-01	9.80392688e-01	5.72452586e-01	4.07940102e-01
40              	8.15711589e-02	1.69321026e-01	9.94331028e-01	5.78736673e-01	4.15594355e-01
41              	7.90577711e-02	1.68689520e-01	1.00251089e+00	5.80313214e-01	4.22197672e-01
42              	7.56279702e-02	1.66843071e-01	1.00537214e+00	5.78314039e-01	4.27058098e-01
43              	7.21087147e-02	1.64367246e-01	1.00490677e+00	5.74562098e-01	4.30344669e-01
44              	6.88008225e-02	1.61541946e-01	1.00230714e+00	5.69954392e-01	4.32352747e-01
45              	6.64382074e-02	1.59045700e-01	9.99564595e-01	5.66220505e-01	4.33344090e-01
46              	6.48740382e-02	1.56848789e-01	9.97089467e-01	5.63418772e-01	4.33670696e-01
47              	6.43617048e-02	1.55395399e-01	9.96252013e-01	5.62487711e-01	4.33764301e-01
48              	6.47270479e-02	1.54569907e-01	9.97193174e-01	5.63323635e-01	4.33869539e-01
49              	6.59065377e-02	1.54534533e-01	1.00045925e+00	5.66136160e-01	4.34323085e-01
50              	6.77536926e-02	1.55246754e-01	1.00610383e+00	5.70805607e-01	4.35298222e-01
51              	7.00739935e-02	1.56611860e-01	1.01392973e+00	5.77038859e-01	4.36890872e-01
52              	7.26800101e-02	1.58494555e-01	1.02366905e+00	5.84514535e-01	4.39154515e-01
53              	7.48821421e-02	1.60300407e-01	1.03309929e+00	5.91431787e-01	4.41667503e-01
54              	7.69565068e-02	1.62236412e-01	1.04333431e+00	5.98623659e-01	4.44710646e-01
55              	7.80884981e-02	1.63430518e-01	1.05074696e+00	6.03461977e-01	4.47284981e-01
56              	7.86804127e-02	1.64148538e-01	1.05643601e+00	6.06898416e-01	4.49537591e-01
57              	7.88519773e-02	1.64440979e-01	1.06061989e+00	6.09161922e-01	4.51457967e-01
58              	7.87638539e-02	1.64412027e-01	1.06369401e+00	6.10610860e-01	4.53083152e-01
59              	7.85495691e-02	1.64162730e-01	1.06600605e+00	6.11552593e-01	4.54453455e-01
60              	7.82846470e-02	1.63767527e-01	1.06796997e+00	6.12269631e-01	4.55700337e-01
61              	7.80238818e-02	1.63266229e-01	1.06946498e+00	6.12756369e-01	4.56708606e-01
62              	7.78085699e-02	1.62707694e-01	1.07074684e+00	6.13181991e-01	4.57564851e-01
63              	7.76746539e-02	1.62136200e-01	1.07185680e+00	6.13603052e-01	4.58253744e-01
64              	7.76792690e-02	1.61644776e-01	1.07294611e+00	6.14152325e-01	4.58793787e-01
65              	7.77944865e-02	1.61213523e-01	1.07415327e+00	6.14871120e-01	4.59282147e-01
66              	7.80228662e-02	1.60866371e-01	1.07554303e+00	6.15794381e-01	4.59748649e-01
67              	7.83322956e-02	1.60616706e-01	1.07711345e+00	6.16889022e-01	4.60224431e-01
68              	7.86831645e-02	1.60432361e-01	1.07885151e+00	6.18108919e-01	4.60742590e-01
69              	7.90266947e-02	1.60270922e-01	1.08070640e+00	6.19379896e-01	4.61326506e-01
70              	7.93945425e-02	1.60138127e-01	1.08285930e+00	6.20824194e-01	4.62035109e-01
71              	7.97482963e-02	1.60023690e-01	1.08512071e+00	6.22308652e-01	4.62812060e-01
72              	8.00722555e-02	1.59917802e-01	1.08742479e+00	6.23784649e-01	4.63640138e-01
73              	8.03979118e-02	1.59826887e-01	1.08993115e+00	6.25363489e-01	4.64567665e-01
74              	8.06864299e-02	1.59715916e-01	1.09240493e+00	6.26888892e-01	4.65516033e-01
75              	8.08979500e-02	1.59573371e-01	1.09464382e+00	6.28219862e-01	4.66423962e-01
76              	8.10870109e-02	1.59416144e-01	1.09691238e+00	6.29543199e-01	4.67369177e-01
77              	8.12391973e-02	1.59220615e-01	1.09909348e+00	6.30785935e-01	4.68307540e-01
78              	8.13281378e-02	1.58990127e-01	1.10103156e+00	6.31843918e-01	4.69187643e-01
79              	8.13867476e-02	1.58735763e-01	1.10286168e+00	6.32817590e-01	4.70044094e-01
80              	8.14474709e-02	1.58464547e-01	1.10483683e+00	6.33865886e-01	4.70970944e-01
81              	8.14802424e-02	1.58163210e-01	1.10677530e+00	6.34867893e-01	4.71907408e-01
82              	8.14896787e-02	1.57853832e-01	1.10865341e+00	6.35816382e-01	4.72837024e-01
83              	8.14727280e-02	1.57520111e-01	1.11060763e+00	6.36776541e-01	4.73831085e-01
84              	8.14335364e-02	1.57168171e-01	1.11255673e+00	6.37711903e-01	4.74844831e-01
85              	8.13716237e-02	1.56821143e-01	1.11440322e+00	6.38573236e-01	4.75829989e-01
86              	8.12740480e-02	1.56446980e-01	1.11628879e+00	6.39418442e-01	4.76870346e-01
87              	8.11478012e-02	1.56053355e-01	1.11817959e+00	6.40237597e-01	4.77941994e-01
88              	8.10196421e-02	1.55682581e-01	1.12000883e+00	6.41024059e-01	4.78984775e-01
89              	8.08856157e-02	1.55325037e-01	1.12183475e+00	6.41802992e-01	4.80031761e-01
90              	8.07503431e-02	1.54980502e-01	1.12373276e+00	6.42616721e-01	4.81116034e-01
91              	8.06154803e-02	1.54644494e-01	1.12591687e+00	6.43573916e-01	4.82342955e-01
92              	8.05055353e-02	1.54349463e-01	1.12824422e+00	6.44627643e-01	4.83616573e-01
93              	8.04351806e-02	1.54109098e-01	1.13071366e+00	6.45792008e-01	4.84921647e-01
94              	8.04140591e-02	1.53926149e-01	1.13350202e+00	6.47165070e-01	4.86336952e-01
95              	8.04326850e-02	1.53790520e-01	1.13640713e+00	6.48636250e-01	4.87770880e-01
96              	8.04719827e-02	1.53688008e-01	1.13922251e+00	6.50083235e-01	4.89139270e-01
97              	8.05203530e-02	1.53602250e-01	1.14194687e+00	6.51493788e-01	4.90453082e-01
98              	8.05763661e-02	1.53529729e-01	1.14480684e+00	6.52979787e-01	4.91827055e-01
99              	8.06164318e-02	1.53448185e-01	1.14757435e+00	6.54403608e-01	4.93170744e-01
100             	8.06218250e-02	1.53340228e-01	1.15012076e+00	6.55682206e-01	4.94438556e-01
101             	8.05842950e-02	1.53194201e-01	1.15246495e+00	6.56816772e-01	4.95648182e-01
102             	8.04944151e-02	1.53001576e-01	1.15478886e+00	6.57888847e-01	4.96900017e-01
103             	8.03670872e-02	1.52771853e-01	1.15695727e+00	6.58845723e-01	4.98111548e-01
104             	8.02120400e-02	1.52513211e-01	1.15896155e+00	6.59692815e-01	4.99268735e-01
105             	8.00445899e-02	1.52238056e-01	1.16086934e+00	6.60479258e-01	5.00390078e-01
106             	7.98714506e-02	1.51954242e-01	1.16287593e+00	6.61309415e-01	5.01566514e-01
107             	7.97188111e-02	1.51689324e-01	1.16488614e+00	6.62161880e-01	5.02724258e-01
108             	7.96042910e-02	1.51462772e-01	1.16692107e+00	6.63064826e-01	5.03856244e-01
109             	7.95373207e-02	1.51283193e-01	1.16901986e+00	6.64047248e-01	5.04972607e-01
110             	7.95195938e-02	1.51152373e-01	1.17121702e+00	6.65128103e-01	5.06088915e-01
111             	7.95529086e-02	1.51074564e-01	1.17366860e+00	6.66387207e-01	5.07281390e-01
112             	7.96115113e-02	1.51032914e-01	1.17614376e+00	6.67683392e-01	5.08460370e-01
113             	7.96745451e-02	1.51007413e-01	1.17858888e+00	6.68968983e-01	5.09619893e-01
114             	7.97168703e-02	1.50973429e-01	1.18095594e+00	6.70194842e-01	5.10761101e-01
115             	7.97169575e-02	1.50909163e-01	1.18322053e+00	6.71327221e-01	5.11893306e-01
116             	7.96596697e-02	1.50797082e-01	1.18536380e+00	6.72341572e-01	5.13022233e-01
117             	7.95374435e-02	1.50627741e-01	1.18737574e+00	6.73225314e-01	5.14150427e-01
118             	7.93517858e-02	1.50399191e-01	1.18924989e+00	6.73976731e-01	5.15273159e-01
119             	7.91130351e-02	1.50117630e-01	1.19099579e+00	6.74610929e-01	5.16384858e-01
