# Force coefficients
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf       : 1.50000000e+01
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e-02
# CofR          : (2.50000000e-01 0.00000000e+00 0.00000000e+00)
# Time          	Cm              	Cd              	Cl              	Cl(f)           	Cl(r)           
0               	2.25212885e-17	3.86698026e-01	9.98791135e-16	5.21916856e-16	4.76874279e-16
1               	-2.30334583e-04	1.34200236e+00	-7.44082838e-04	-6.02376003e-04	-1.41706836e-04
2               	-2.34275727e-03	1.45534801e+00	-1.69176546e-02	-1.08015846e-02	-6.11607002e-03
3               	8.54166211e-03	1.16125267e+00	-1.03115284e-02	3.38589793e-03	-1.36974263e-02
4               	1.51206003e-02	6.46881430e-01	-2.21229288e-02	4.05913592e-03	-2.61820647e-02
5               	1.32859991e-02	1.22064338e-01	-4.76151286e-02	-1.05215652e-02	-3.70935634e-02
6               	7.18881472e-03	-2.52889271e-01	-7.03908399e-02	-2.80066052e-02	-4.23842347e-02
7               	-1.35902619e-04	-4.19185613e-01	-7.39297938e-02	-3.71007995e-02	-3.68289943e-02
8               	-7.28182398e-03	-4.09842709e-01	-5.95413626e-02	-3.70525053e-02	-2.24888573e-02
9               	-1.59701549e-02	-2.89552131e-01	-4.37122404e-02	-3.78262751e-02	-5.88596531e-03
10              	-1.67403913e-02	-1.20340114e-01	-7.80361104e-03	-2.06421968e-02	1.28385858e-02
11              	-1.09704062e-02	2.96264280e-02	3.25121304e-02	5.28565897e-03	2.72264714e-02
12              	-2.53097332e-03	1.28043415e-01	6.17876654e-02	2.83628594e-02	3.34248060e-02
13              	4.79726886e-03	1.67114600e-01	6.89553914e-02	3.92749646e-02	2.96804268e-02
14              	9.81319399e-03	1.55660703e-01	5.67943982e-02	3.82103931e-02	1.85840051e-02
15              	1.26664464e-02	1.14496487e-01	3.36648633e-02	2.94988780e-02	4.16598528e-03
16              	1.10577444e-02	6.71077988e-02	7.70062304e-04	1.14427755e-02	-1.06727132e-02
17              	6.21355280e-03	2.58021537e-02	-3.29384991e-02	-1.02556967e-02	-2.26828023e-02
18              	5.11341267e-04	-1.84944513e-03	-5.75195155e-02	-2.82484165e-02	-2.92710990e-02
19              	-3.89633418e-03	-1.42597415e-02	-6.73323786e-02	-3.75625235e-02	-2.97698551e-02
20              	-6.28244841e-03	-1.32526221e-02	-6.29395924e-02	-3.77522446e-02	-2.51873478e-02
21              	-6.64737015e-03	-5.18347041e-03	-4.92755595e-02	-3.12851499e-02	-1.79904096e-02
22              	-5.07698193e-03	5.26344450e-03	-2.97372407e-02	-1.99456023e-02	-9.79163841e-03
23              	-2.23352127e-03	1.44326970e-02	-9.64090268e-03	-7.05397261e-03	-2.58693007e-03
24              	9.79993073e-04	2.07131147e-02	6.56774061e-03	4.26386338e-03	2.30387723e-03
25              	3.62536548e-03	2.34388628e-02	1.59570094e-02	1.16038702e-02	4.35313923e-03
26              	5.32417722e-03	2.30057412e-02	1.81162732e-02	1.43823138e-02	3.73395940e-03
27              	5.84163880e-03	2.08311378e-02	1.39203279e-02	1.28018028e-02	1.11852517e-03
28              	5.17562087e-03	1.79813933e-02	5.23268602e-03	7.79196387e-03	-2.55927786e-03
29              	3.74251433e-03	1.52406633e-02	-4.95562839e-03	1.26470014e-03	-6.22032853e-03
30              	1.97217869e-03	1.31966305e-02	-1.42437415e-02	-5.14969206e-03	-9.09404944e-03
31              	4.04850157e-04	1.19835965e-02	-2.05615414e-02	-9.87592057e-03	-1.06856209e-02
32              	-7.69263462e-04	1.15223725e-02	-2.34836149e-02	-1.25110709e-02	-1.09725440e-02
33              	-1.44231035e-03	1.15423744e-02	-2.31555225e-02	-1.30200716e-02	-1.01354509e-02
34              	-1.50340532e-03	1.18046346e-02	-1.97722428e-02	-1.13895267e-02	-8.38271609e-03
35              	-1.00666122e-03	1.20609114e-02	-1.41790977e-02	-8.09621005e-03	-6.08288762e-03
36              	-1.88669385e-04	1.21631734e-02	-7.67372514e-03	-4.02553195e-03	-3.64819318e-03
37              	6.70866356e-04	1.20699074e-02	-1.52466348e-03	-9.14653845e-05	-1.43319810e-03
38              	1.29816958e-03	1.18171041e-02	3.23630897e-03	2.91632406e-03	3.19984901e-04
39              	1.62179517e-03	1.14528516e-02	6.43311617e-03	4.83835326e-03	1.59476291e-03
40              	1.64625387e-03	1.10362965e-02	8.17814524e-03	5.73532649e-03	2.44281875e-03
41              	1.45211324e-03	1.05991406e-02	8.82512079e-03	5.86467364e-03	2.96044715e-03
42              	1.05886263e-03	1.02047316e-02	8.42808918e-03	5.27290722e-03	3.15518196e-03
43              	5.08875937e-04	9.93374093e-03	7.07681777e-03	4.04728482e-03	3.02953295e-03
44              	-1.36440278e-04	9.85173315e-03	4.94325669e-03	2.33518807e-03	2.60806862e-03
45              	-5.55568887e-04	9.84513787e-03	3.23056746e-03	1.05971484e-03	2.17085262e-03
46              	-7.13249034e-04	9.85723093e-03	2.21719551e-03	3.95348723e-04	1.82184679e-03
47              	-7.09487202e-04	9.90780813e-03	1.68157705e-03	1.31301325e-04	1.55027573e-03
48              	-5.98991114e-04	1.00141806e-02	1.54419198e-03	1.73104877e-04	1.37108711e-03
49              	-4.10332951e-04	1.01560056e-02	1.83403258e-03	5.06683338e-04	1.32734924e-03
50              	-1.47615674e-04	1.03016733e-02	2.65117688e-03	1.17797277e-03	1.47320411e-03
51              	1.27572404e-04	1.03907674e-02	3.84004714e-03	2.04759597e-03	1.79245117e-03
52              	3.29782205e-04	1.04115569e-02	5.04664308e-03	2.85310375e-03	2.19353934e-03
53              	4.36387424e-04	1.03749619e-02	6.09994445e-03	3.48635965e-03	2.61358480e-03
54              	4.45016184e-04	1.02999855e-02	6.86480221e-03	3.87741729e-03	2.98738492e-03
55              	3.77190168e-04	1.02128432e-02	7.26809697e-03	4.01123865e-03	3.25685832e-03
56              	2.66665918e-04	1.01212646e-02	7.36063567e-03	3.94698375e-03	3.41365192e-03
57              	1.50122528e-04	1.00343878e-02	7.20854283e-03	3.75439394e-03	3.45414889e-03
58              	4.50457354e-05	9.95645744e-03	6.88462555e-03	3.48735851e-03	3.39726704e-03
59              	-6.88420843e-05	9.90672254e-03	6.31245170e-03	3.08738377e-03	3.22506793e-03
60              	-1.56934367e-04	9.88150766e-03	5.65176526e-03	2.66894826e-03	2.98281700e-03
61              	-2.14847638e-04	9.88833817e-03	4.94596354e-03	2.25813413e-03	2.68782941e-03
62              	-2.20337980e-04	9.89443755e-03	4.39694623e-03	1.97813514e-03	2.41881110e-03
63              	-1.87756114e-04	9.87971692e-03	4.04785351e-03	1.83617064e-03	2.21168287e-03
64              	-1.33641537e-04	9.85427042e-03	3.82898847e-03	1.78085270e-03	2.04813577e-03
65              	-6.99520465e-05	9.81638562e-03	3.70513223e-03	1.78261407e-03	1.92251816e-03
66              	-4.78785803e-06	9.76531042e-03	3.64172402e-03	1.81607415e-03	1.82564987e-03
67              	5.62453961e-05	9.69928558e-03	3.60931129e-03	1.86090104e-03	1.74841025e-03
68              	1.11588269e-04	9.61507313e-03	3.58365481e-03	1.90341568e-03	1.68023914e-03
69              	1.44939439e-04	9.50990535e-03	3.51204154e-03	1.90096021e-03	1.61108133e-03
