# Force coefficients
# liftDir       : (-2.41921896e-01 9.70295726e-01 0.00000000e+00)
# dragDir       : (9.70295726e-01 2.41921896e-01 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf       : 1.50000000e+01
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e-02
# CofR          : (2.50000000e-01 0.00000000e+00 0.00000000e+00)
# Time          	Cm              	Cd              	Cl              	Cl(f)           	Cl(r)           
0               	2.86533547e-02	3.93620100e-01	2.77629223e-02	4.25348159e-02	-1.47718935e-02
1               	4.63161228e+00	5.46672344e+00	1.61032928e+01	1.26832587e+01	3.42003411e+00
2               	6.09835044e+00	6.79713167e+00	2.14537304e+01	1.68252156e+01	4.62851474e+00
3               	5.35664217e+00	5.82186614e+00	1.92935953e+01	1.50034398e+01	4.29015547e+00
4               	3.19690777e+00	3.50934248e+00	1.22752803e+01	9.33454794e+00	2.94073240e+00
5               	6.88136940e-01	9.27589720e-01	3.86783041e+00	2.62205214e+00	1.24577826e+00
6               	-1.28768968e+00	-1.09431920e+00	-3.01702618e+00	-2.79620277e+00	-2.20823412e-01
7               	-2.30816575e+00	-2.15829885e+00	-6.85923611e+00	-5.73778380e+00	-1.12145230e+00
8               	-2.36049016e+00	-2.23586915e+00	-7.45639424e+00	-6.08868728e+00	-1.36770696e+00
9               	-1.77540503e+00	-1.67202850e+00	-5.84240075e+00	-4.69660540e+00	-1.14579535e+00
10              	-8.68889245e-01	-7.81929985e-01	-2.97631505e+00	-2.35704677e+00	-6.19268281e-01
11              	-9.66867059e-03	6.35715026e-02	-6.16581280e-02	-4.04977346e-02	-2.11603934e-02
12              	5.82474599e-01	6.55681147e-01	2.10082602e+00	1.63288761e+00	4.67938409e-01
13              	7.92525347e-01	8.95325641e-01	3.08976904e+00	2.33740987e+00	7.52359174e-01
14              	7.19477891e-01	8.59772562e-01	3.10685520e+00	2.27290549e+00	8.33949707e-01
15              	4.52173435e-01	6.36249746e-01	2.41948345e+00	1.66191516e+00	7.57568290e-01
16              	1.22419368e-01	3.41603101e-01	1.40922814e+00	8.27033440e-01	5.82194703e-01
17              	-1.50463215e-01	7.92144978e-02	4.66202696e-01	8.26381330e-02	3.83564564e-01
18              	-3.02675239e-01	-8.90051497e-02	-1.61994849e-01	-3.83672664e-01	2.21677815e-01
19              	-3.32176758e-01	-1.48175518e-01	-4.04142459e-01	-5.34247988e-01	1.30105529e-01
20              	-2.83827189e-01	-1.30954480e-01	-3.64663731e-01	-4.66159054e-01	1.01495323e-01
21              	-1.78560262e-01	-5.67771331e-02	-9.98443669e-02	-2.28482445e-01	1.28638078e-01
22              	-6.15156625e-02	3.73622562e-02	2.59814198e-01	6.83914366e-02	1.91422762e-01
23              	2.88698930e-02	1.18596920e-01	5.84655994e-01	3.21197890e-01	2.63458104e-01
24              	7.57139097e-02	1.68589498e-01	7.98808346e-01	4.75118082e-01	3.23690263e-01
25              	8.21618651e-02	1.84770083e-01	8.88091339e-01	5.26207534e-01	3.61883804e-01
