# Force coefficients
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf       : 1.50000000e+01
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e-02
# CofR          : (2.50000000e-01 0.00000000e+00 0.00000000e+00)
# Time          	Cm              	Cd              	Cl              	Cl(f)           	Cl(r)           
0               	-9.63656528e-03	5.09227061e-01	1.28193570e-03	-8.99559743e-03	1.02775331e-02
1               	5.78954163e-01	1.25888336e+00	3.83532645e-01	7.70720486e-01	-3.87187841e-01
2               	7.12012261e-01	1.23697984e+00	4.99954964e-01	9.61989742e-01	-4.62034779e-01
3               	6.39928482e-01	9.33444015e-01	4.69931482e-01	8.74894223e-01	-4.04962741e-01
4               	4.30725966e-01	5.12508689e-01	3.44593386e-01	6.03022659e-01	-2.58429273e-01
5               	1.88633411e-01	1.25325120e-01	2.11368713e-01	2.94317767e-01	-8.29490542e-02
6               	-1.13535038e-02	-1.40179162e-01	1.16506950e-01	4.68999711e-02	6.96069788e-02
7               	-1.15057429e-01	-2.58470127e-01	1.03542814e-01	-6.32860219e-02	1.66828836e-01
8               	-1.37592661e-01	-2.54438406e-01	1.30707426e-01	-7.22389476e-02	2.02946373e-01
9               	-1.19611798e-01	-1.80364961e-01	1.40778653e-01	-4.92224712e-02	1.90001124e-01
10              	-4.84457140e-02	-6.65228279e-02	1.64504454e-01	3.38065130e-02	1.30697941e-01
11              	3.03737092e-02	3.04955654e-02	1.77889275e-01	1.19318346e-01	5.85709281e-02
12              	8.98420742e-02	9.14552050e-02	1.71094233e-01	1.75389191e-01	-4.29495773e-03
13              	1.28835996e-01	1.19084138e-01	1.65284991e-01	2.11478492e-01	-4.61935008e-02
14              	1.42039466e-01	1.17000562e-01	1.57662409e-01	2.20870670e-01	-6.32082610e-02
15              	1.39979687e-01	1.00691664e-01	1.63382488e-01	2.21670931e-01	-5.82884432e-02
16              	1.29543386e-01	7.89823874e-02	1.81979560e-01	2.20533166e-01	-3.85536060e-02
17              	1.11232153e-01	5.38825890e-02	2.05775760e-01	2.14120033e-01	-8.34427312e-03
18              	9.08872101e-02	3.18111824e-02	2.20244104e-01	2.01009262e-01	1.92348420e-02
19              	7.63849016e-02	1.76426857e-02	2.27376707e-01	1.90073255e-01	3.73034519e-02
20              	6.72351637e-02	1.01117004e-02	2.24328380e-01	1.79399354e-01	4.49290264e-02
21              	6.42154834e-02	8.95759077e-03	2.16272495e-01	1.72351731e-01	4.39207641e-02
22              	6.46401957e-02	1.12565550e-02	1.99338776e-01	1.64309584e-01	3.50291921e-02
23              	6.90819305e-02	1.60951071e-02	1.84512719e-01	1.61338290e-01	2.31744290e-02
24              	7.59850181e-02	2.16676188e-02	1.77006606e-01	1.64488321e-01	1.25182848e-02
