# Force coefficients
# liftDir       : (-2.41921896e-01 9.70295726e-01 0.00000000e+00)
# dragDir       : (9.70295726e-01 2.41921896e-01 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf       : 1.50000000e+01
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e-02
# CofR          : (2.50000000e-01 0.00000000e+00 0.00000000e+00)
# Time          	Cm              	Cd              	Cl              	Cl(f)           	Cl(r)           
0               	2.79863384e-02	5.18796523e-01	3.70990815e-02	4.65358791e-02	-9.43679761e-03
1               	3.45411993e+00	4.02123343e+00	9.94623215e+00	8.42723600e+00	1.51899614e+00
2               	4.29006945e+00	4.63068433e+00	1.27044129e+01	1.06422759e+01	2.06213699e+00
3               	3.72901786e+00	3.86710099e+00	1.13479543e+01	9.40299503e+00	1.94495931e+00
4               	2.25739181e+00	2.30954262e+00	7.37271078e+00	5.94374720e+00	1.42896358e+00
5               	4.55134225e-01	5.62998320e-01	2.51302666e+00	1.71164756e+00	8.01379107e-01
6               	-9.17992016e-01	-7.33249491e-01	-1.36085774e+00	-1.59842089e+00	2.37563145e-01
7               	-1.63222015e+00	-1.38905013e+00	-3.53925064e+00	-3.40184547e+00	-1.37405173e-01
8               	-1.64907301e+00	-1.37244432e+00	-3.78342111e+00	-3.54078356e+00	-2.42637545e-01
9               	-1.29623739e+00	-9.93984211e-01	-3.00830357e+00	-2.80038917e+00	-2.07914394e-01
10              	-6.35123845e-01	-4.06819252e-01	-1.42319030e+00	-1.34671900e+00	-7.64713072e-02
11              	7.33096011e-03	1.32244570e-01	2.20837810e-01	1.17749865e-01	1.03087945e-01
12              	4.36028867e-01	4.74922327e-01	1.41687742e+00	1.14446758e+00	2.72409844e-01
13              	5.99453379e-01	5.81956195e-01	1.96126599e+00	1.58008638e+00	3.81179618e-01
14              	5.85535415e-01	5.66350453e-01	2.04775527e+00	1.60941305e+00	4.38342218e-01
15              	4.69781456e-01	4.83635276e-01	1.88724262e+00	1.41340277e+00	4.73839855e-01
16              	2.71914774e-01	3.38111800e-01	1.48711101e+00	1.01547028e+00	4.71640733e-01
17              	6.44076514e-02	1.90730136e-01	1.01680306e+00	5.72809184e-01	4.43993881e-01
18              	-7.88640055e-02	8.47730907e-02	6.62857347e-01	2.52564668e-01	4.10292679e-01
19              	-1.39394636e-01	3.44261455e-02	4.87429221e-01	1.04319975e-01	3.83109247e-01
20              	-1.42935553e-01	1.88066056e-02	4.44415540e-01	7.92722169e-02	3.65143323e-01
21              	-1.15635589e-01	2.19684212e-02	4.66655690e-01	1.17692256e-01	3.48963433e-01
22              	-6.53760851e-02	4.06730473e-02	5.44100851e-01	2.06674340e-01	3.37426511e-01
23              	-1.86424398e-03	7.16367108e-02	6.63234953e-01	3.29753232e-01	3.33481720e-01
24              	6.19493150e-02	1.11330466e-01	8.00911107e-01	4.62404869e-01	3.38506239e-01
25              	1.03886174e-01	1.43222353e-01	9.05969401e-01	5.56870875e-01	3.49098527e-01
26              	1.20706487e-01	1.62151550e-01	9.66420140e-01	6.03916557e-01	3.62503583e-01
27              	1.22161108e-01	1.71378561e-01	9.97789476e-01	6.21055846e-01	3.76733630e-01
28              	1.16287270e-01	1.75261589e-01	1.01735291e+00	6.24963726e-01	3.92389186e-01
29              	1.04821743e-01	1.73883559e-01	1.02883605e+00	6.19239770e-01	4.09596284e-01
30              	9.08200443e-02	1.67706655e-01	1.03010055e+00	6.05870321e-01	4.24230233e-01
31              	7.50978453e-02	1.57305675e-01	1.02017323e+00	5.85184463e-01	4.34988772e-01
32              	6.25573133e-02	1.46358333e-01	1.00474809e+00	5.64931357e-01	4.39816730e-01
33              	5.47231584e-02	1.37057254e-01	9.88206310e-01	5.48826313e-01	4.39379997e-01
34              	5.04744244e-02	1.29619264e-01	9.71898433e-01	5.36423641e-01	4.35474792e-01
35              	4.93896498e-02	1.24543492e-01	9.58891761e-01	5.28835530e-01	4.30056231e-01
36              	5.11182497e-02	1.22256622e-01	9.52295543e-01	5.27266021e-01	4.25029522e-01
37              	5.53317947e-02	1.22278334e-01	9.52017304e-01	5.31340447e-01	4.20676857e-01
38              	6.13380701e-02	1.24559028e-01	9.59293533e-01	5.40984836e-01	4.18308696e-01
39              	6.85318227e-02	1.28689052e-01	9.73642358e-01	5.55353002e-01	4.18289356e-01
40              	7.49314379e-02	1.33218645e-01	9.90809120e-01	5.70335998e-01	4.20473122e-01
41              	8.05718517e-02	1.37828203e-01	1.00960604e+00	5.85374872e-01	4.24231169e-01
42              	8.50018408e-02	1.41891009e-01	1.02769529e+00	5.98849485e-01	4.28845804e-01
43              	8.79107551e-02	1.44919320e-01	1.04304011e+00	6.09430810e-01	4.33609300e-01
44              	8.92536872e-02	1.46667508e-01	1.05446932e+00	6.16488349e-01	4.37980975e-01
45              	8.92160864e-02	1.47141399e-01	1.06173493e+00	6.20083553e-01	4.41651380e-01
46              	8.81113281e-02	1.46507024e-01	1.06529143e+00	6.20757042e-01	4.44534385e-01
47              	8.60226176e-02	1.44864791e-01	1.06591156e+00	6.18978396e-01	4.46933161e-01
48              	8.38207109e-02	1.42808631e-01	1.06466958e+00	6.16155501e-01	4.48514079e-01
49              	8.11537737e-02	1.40130482e-01	1.06205021e+00	6.12178877e-01	4.49871329e-01
50              	7.88368734e-02	1.37538535e-01	1.05962091e+00	6.08647328e-01	4.50973581e-01
51              	7.67730210e-02	1.34972951e-01	1.05780064e+00	6.05673341e-01	4.52127299e-01
52              	7.53428207e-02	1.32845596e-01	1.05759045e+00	6.04138048e-01	4.53452406e-01
53              	7.46944211e-02	1.31386168e-01	1.05940647e+00	6.04397658e-01	4.55008816e-01
54              	7.47707468e-02	1.30619109e-01	1.06313113e+00	6.06336310e-01	4.56794816e-01
55              	7.53963641e-02	1.30423182e-01	1.06836769e+00	6.09580211e-01	4.58787483e-01
56              	7.63831870e-02	1.30645544e-01	1.07469820e+00	6.13732285e-01	4.60965911e-01
57              	7.76879428e-02	1.31224952e-01	1.08222267e+00	6.18799280e-01	4.63423395e-01
58              	7.90253314e-02	1.31943147e-01	1.08998885e+00	6.24019754e-01	4.65969091e-01
