# Force coefficients
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf       : 1.50000000e+01
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e-02
# CofR          : (2.50000000e-01 0.00000000e+00 0.00000000e+00)
# Time          	Cm              	Cd              	Cl              	Cl(f)           	Cl(r)           
2000            	8.93501503e-02	1.23979594e-02	3.94849878e-01	2.86775089e-01	1.08074789e-01
2001            	8.92876901e-02	1.23933377e-02	3.94637030e-01	2.86606205e-01	1.08030825e-01
2002            	8.93112260e-02	1.23940713e-02	3.94714315e-01	2.86668383e-01	1.08045932e-01
2003            	8.93361469e-02	1.23944639e-02	3.94797150e-01	2.86734722e-01	1.08062428e-01
2004            	8.93568458e-02	1.23947901e-02	3.94868329e-01	2.86791010e-01	1.08077319e-01
2005            	8.93715976e-02	1.23951740e-02	3.94922816e-01	2.86833006e-01	1.08089810e-01
2006            	8.93783721e-02	1.23953442e-02	3.94951755e-01	2.86854249e-01	1.08097505e-01
2007            	8.93795349e-02	1.23953902e-02	3.94963341e-01	2.86861205e-01	1.08102136e-01
2008            	8.93754537e-02	1.23954565e-02	3.94959834e-01	2.86855371e-01	1.08104463e-01
2009            	8.93660566e-02	1.23953163e-02	3.94940453e-01	2.86836283e-01	1.08104170e-01
2010            	8.93562041e-02	1.23952928e-02	3.94916694e-01	2.86814551e-01	1.08102143e-01
2011            	8.93468982e-02	1.23952401e-02	3.94892286e-01	2.86793041e-01	1.08099245e-01
2012            	8.93396829e-02	1.23951816e-02	3.94872035e-01	2.86775701e-01	1.08096335e-01
2013            	8.93354625e-02	1.23950136e-02	3.94859294e-01	2.86765109e-01	1.08094184e-01
2014            	8.93341139e-02	1.23949574e-02	3.94854547e-01	2.86761387e-01	1.08093160e-01
2015            	8.93347223e-02	1.23948518e-02	3.94855561e-01	2.86762503e-01	1.08093058e-01
2016            	8.93369511e-02	1.23946887e-02	3.94861736e-01	2.86767819e-01	1.08093917e-01
2017            	8.93408009e-02	1.23943456e-02	3.94873437e-01	2.86777520e-01	1.08095918e-01
2018            	8.93459752e-02	1.23940100e-02	3.94890304e-01	2.86791127e-01	1.08099177e-01
2019            	8.93517845e-02	1.23934897e-02	3.94910676e-01	2.86807123e-01	1.08103554e-01
2020            	8.93575394e-02	1.23930006e-02	3.94932737e-01	2.86823908e-01	1.08108829e-01
2021            	8.93620773e-02	1.23924963e-02	3.94952568e-01	2.86838361e-01	1.08114207e-01
2022            	8.93647574e-02	1.23919605e-02	3.94967396e-01	2.86848455e-01	1.08118940e-01
2023            	8.93657987e-02	1.23915484e-02	3.94977386e-01	2.86854492e-01	1.08122894e-01
2024            	8.93654643e-02	1.23912113e-02	3.94982344e-01	2.86856636e-01	1.08125708e-01
2025            	8.93640818e-02	1.23908675e-02	3.94984161e-01	2.86856162e-01	1.08127999e-01
2026            	8.93618358e-02	1.23905159e-02	3.94983089e-01	2.86853380e-01	1.08129709e-01
2027            	8.93587292e-02	1.23900780e-02	3.94979194e-01	2.86848326e-01	1.08130868e-01
2028            	8.93551520e-02	1.23896739e-02	3.94973109e-01	2.86841706e-01	1.08131402e-01
2029            	8.93516382e-02	1.23892317e-02	3.94965893e-01	2.86834585e-01	1.08131308e-01
2030            	8.93487010e-02	1.23888734e-02	3.94958978e-01	2.86828190e-01	1.08130788e-01
2031            	8.93468912e-02	1.23886059e-02	3.94954190e-01	2.86823986e-01	1.08130204e-01
2032            	8.93462706e-02	1.23884245e-02	3.94952282e-01	2.86822411e-01	1.08129870e-01
2033            	8.93467464e-02	1.23882796e-02	3.94953606e-01	2.86823549e-01	1.08130056e-01
2034            	8.93481131e-02	1.23881857e-02	3.94958152e-01	2.86827189e-01	1.08130963e-01
2035            	8.93498207e-02	1.23881206e-02	3.94964640e-01	2.86832141e-01	1.08132499e-01
2036            	8.93516243e-02	1.23880315e-02	3.94972461e-01	2.86837855e-01	1.08134606e-01
2037            	8.93533516e-02	1.23878911e-02	3.94981083e-01	2.86843893e-01	1.08137190e-01
2038            	8.93548333e-02	1.23876834e-02	3.94989862e-01	2.86849764e-01	1.08140098e-01
2039            	8.93559456e-02	1.23874034e-02	3.94998195e-01	2.86855043e-01	1.08143152e-01
2040            	8.93568293e-02	1.23870346e-02	3.95006491e-01	2.86860075e-01	1.08146416e-01
2041            	8.93570607e-02	1.23865865e-02	3.95013236e-01	2.86863679e-01	1.08149557e-01
2042            	8.93568549e-02	1.23861121e-02	3.95018195e-01	2.86865952e-01	1.08152243e-01
2043            	8.93563880e-02	1.23856227e-02	3.95021810e-01	2.86867293e-01	1.08154517e-01
2044            	8.93556757e-02	1.23851671e-02	3.95023745e-01	2.86867548e-01	1.08156197e-01
2045            	8.93549384e-02	1.23847671e-02	3.95024507e-01	2.86867192e-01	1.08157315e-01
2046            	8.93542659e-02	1.23844259e-02	3.95024689e-01	2.86866610e-01	1.08158079e-01
2047            	8.93537275e-02	1.23841417e-02	3.95024764e-01	2.86866109e-01	1.08158654e-01
