# Force coefficients
# liftDir       : (-2.41921896e-01 9.70295726e-01 0.00000000e+00)
# dragDir       : (9.70295726e-01 2.41921896e-01 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf       : 1.50000000e+01
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e-02
# CofR          : (2.50000000e-01 0.00000000e+00 0.00000000e+00)
# Time          	Cm              	Cd              	Cl              	Cl(f)           	Cl(r)           
0               	2.79936391e-02	5.18786319e-01	3.70966338e-02	4.65419560e-02	-9.44532218e-03
1               	1.04660704e+01	1.09421575e+01	3.10900583e+01	2.60110995e+01	5.07895871e+00
2               	1.40041098e+01	1.41351657e+01	4.21503876e+01	3.50793036e+01	7.07108402e+00
3               	1.22487714e+01	1.22100454e+01	3.76338221e+01	3.10656825e+01	6.56813964e+00
4               	7.35489041e+00	7.33755505e+00	2.35855727e+01	1.91476768e+01	4.43789594e+00
5               	1.70341915e+00	1.84850620e+00	6.96472197e+00	5.18578014e+00	1.77894184e+00
6               	-2.69619273e+00	-2.40290725e+00	-6.38505491e+00	-5.88872019e+00	-4.96334722e-01
7               	-4.91712152e+00	-4.55332512e+00	-1.35571189e+01	-1.16956810e+01	-1.86143793e+00
8               	-5.01802402e+00	-4.64643872e+00	-1.44556751e+01	-1.22458616e+01	-2.20981352e+00
9               	-3.67827782e+00	-3.39279555e+00	-1.10013266e+01	-9.17894113e+00	-1.82238549e+00
10              	-1.67799893e+00	-1.53316725e+00	-5.35750786e+00	-4.35675285e+00	-1.00075500e+00
11              	1.82776328e-01	1.91021866e-01	1.49972726e-01	2.57762691e-01	-1.07789965e-01
12              	1.38859921e+00	1.31690025e+00	3.95228564e+00	3.36474203e+00	5.87543611e-01
13              	1.80445743e+00	1.73190574e+00	5.55203995e+00	4.58047740e+00	9.71562549e-01
14              	1.59543027e+00	1.58248911e+00	5.30964429e+00	4.25025242e+00	1.05939187e+00
15              	1.01734017e+00	1.09701923e+00	3.89234819e+00	2.96351427e+00	9.28833925e-01
16              	3.36312412e-01	5.07987535e-01	2.02814415e+00	1.35038448e+00	6.77759661e-01
17              	-2.15042574e-01	1.64234253e-02	3.95224123e-01	-1.74305130e-02	4.12654636e-01
18              	-5.20608325e-01	-2.73934543e-01	-6.29836276e-01	-8.35526463e-01	2.05690187e-01
19              	-5.72318280e-01	-3.51689744e-01	-9.70053615e-01	-1.05734509e+00	8.72914727e-02
20              	-4.49344701e-01	-2.80215139e-01	-8.01466123e-01	-8.50077762e-01	4.86116393e-02
21              	-2.35220414e-01	-1.24541784e-01	-3.21118801e-01	-3.95779814e-01	7.46610132e-02
22              	-1.31824534e-02	4.76594605e-02	2.51851629e-01	1.12743361e-01	1.39108268e-01
23              	1.51485372e-01	1.82898156e-01	7.28531780e-01	5.15751262e-01	2.12780518e-01
24              	2.32536980e-01	2.57070790e-01	1.01557187e+00	7.40322917e-01	2.75248956e-01
25              	2.36070600e-01	2.72814482e-01	1.10748389e+00	7.89812545e-01	3.17671345e-01
26              	1.92473081e-01	2.51425794e-01	1.06698139e+00	7.25963776e-01	3.41017615e-01
27              	1.26996393e-01	2.10751346e-01	9.50717555e-01	6.02355170e-01	3.48362385e-01
28              	6.14342353e-02	1.66046486e-01	8.09359403e-01	4.66113937e-01	3.43245466e-01
29              	1.35324304e-02	1.30609423e-01	6.89865304e-01	3.58465083e-01	3.31400222e-01
30              	-8.98895905e-03	1.11302313e-01	6.19196697e-01	3.00609389e-01	3.18587307e-01
31              	-8.98732537e-03	1.06994302e-01	5.97365381e-01	2.89695365e-01	3.07670016e-01
32              	5.44608731e-03	1.12522961e-01	6.10157073e-01	3.10524624e-01	2.99632449e-01
33              	2.63792787e-02	1.22894719e-01	6.42637622e-01	3.47698090e-01	2.94939532e-01
34              	4.77463002e-02	1.34334542e-01	6.83388655e-01	3.89440628e-01	2.93948027e-01
35              	6.43634188e-02	1.43495289e-01	7.21112844e-01	4.24919841e-01	2.96193003e-01
36              	7.40905208e-02	1.48937939e-01	7.49987222e-01	4.49084132e-01	3.00903090e-01
37              	7.68275742e-02	1.50475592e-01	7.67509176e-01	4.60582162e-01	3.06927014e-01
38              	7.45925308e-02	1.49252758e-01	7.75950710e-01	4.62567886e-01	3.13382824e-01
39              	6.97973400e-02	1.46607899e-01	7.78604051e-01	4.59099365e-01	3.19504685e-01
40              	6.44564851e-02	1.43616052e-01	7.78207809e-01	4.53560390e-01	3.24647419e-01
41              	6.00572927e-02	1.40973364e-01	7.77282988e-01	4.48698786e-01	3.28584201e-01
42              	5.69609320e-02	1.38806029e-01	7.76334957e-01	4.45128410e-01	3.31206546e-01
43              	5.56570560e-02	1.37395291e-01	7.76556019e-01	4.43935065e-01	3.32620953e-01
44              	5.59663104e-02	1.36667791e-01	7.78265697e-01	4.45099159e-01	3.33166538e-01
45              	5.74894050e-02	1.36506602e-01	7.81483475e-01	4.48231143e-01	3.33252333e-01
46              	5.98783014e-02	1.36889006e-01	7.86278494e-01	4.53017548e-01	3.33260946e-01
47              	6.21523085e-02	1.37345332e-01	7.91287613e-01	4.57796115e-01	3.33491498e-01
48              	6.42298799e-02	1.37789431e-01	7.96655790e-01	4.62557775e-01	3.34098015e-01
49              	6.58351669e-02	1.38063227e-01	8.02265177e-01	4.66967755e-01	3.35297422e-01
50              	6.70437316e-02	1.38201714e-01	8.08504836e-01	4.71296150e-01	3.37208687e-01
51              	6.75912540e-02	1.37987763e-01	8.14592646e-01	4.74887577e-01	3.39705069e-01
52              	6.77304508e-02	1.37502182e-01	8.20506190e-01	4.77983546e-01	3.42522644e-01
53              	6.75472032e-02	1.36755317e-01	8.26086037e-01	4.80590222e-01	3.45495815e-01
54              	6.73684796e-02	1.35959998e-01	8.31241160e-01	4.82989060e-01	3.48252100e-01
55              	6.72367314e-02	1.35190301e-01	8.35946030e-01	4.85209746e-01	3.50736283e-01
56              	6.73397884e-02	1.34636565e-01	8.40272305e-01	4.87475941e-01	3.52796364e-01
57              	6.75929730e-02	1.34284955e-01	8.44297905e-01	4.89741925e-01	3.54555979e-01
58              	6.79865702e-02	1.34140524e-01	8.48380408e-01	4.92176774e-01	3.56203634e-01
59              	6.85013073e-02	1.34205291e-01	8.52642898e-01	4.94822757e-01	3.57820142e-01
60              	6.90244915e-02	1.34380264e-01	8.56901757e-01	4.97475370e-01	3.59426387e-01
61              	6.95314039e-02	1.34606416e-01	8.61292230e-01	5.00177519e-01	3.61114711e-01
62              	7.00464841e-02	1.34851508e-01	8.65865217e-01	5.02979092e-01	3.62886124e-01
63              	7.04060747e-02	1.34969562e-01	8.70107857e-01	5.05460003e-01	3.64647854e-01
64              	7.06501026e-02	1.34979405e-01	8.74084806e-01	5.07692506e-01	3.66392300e-01
65              	7.08431840e-02	1.34930935e-01	8.77995977e-01	5.09841173e-01	3.68154805e-01
66              	7.10102498e-02	1.34857101e-01	8.81858909e-01	5.11939704e-01	3.69919205e-01
67              	7.11713566e-02	1.34790686e-01	8.85679985e-01	5.14011349e-01	3.71668636e-01
68              	7.13734839e-02	1.34776385e-01	8.89518209e-01	5.16132588e-01	3.73385621e-01
69              	7.15749938e-02	1.34801731e-01	8.93362693e-01	5.18256340e-01	3.75106353e-01
70              	7.18152814e-02	1.34890781e-01	8.97180664e-01	5.20405613e-01	3.76775051e-01
71              	7.20460437e-02	1.35014878e-01	9.00887053e-01	5.22489570e-01	3.78397483e-01
72              	7.22910859e-02	1.35179185e-01	9.04532178e-01	5.24557175e-01	3.79975003e-01
73              	7.25537683e-02	1.35379451e-01	9.08128444e-01	5.26617990e-01	3.81510453e-01
74              	7.27778236e-02	1.35576541e-01	9.11509453e-01	5.28532550e-01	3.82976903e-01
75              	7.30046019e-02	1.35792040e-01	9.14839428e-01	5.30424316e-01	3.84415112e-01
76              	7.32024702e-02	1.35998781e-01	9.17992706e-01	5.32198823e-01	3.85793883e-01
77              	7.33946906e-02	1.36220141e-01	9.21115536e-01	5.33952459e-01	3.87163077e-01
78              	7.35645538e-02	1.36440380e-01	9.24095260e-01	5.35612184e-01	3.88483076e-01
79              	7.37355436e-02	1.36684542e-01	9.27125720e-01	5.37298403e-01	3.89827316e-01
80              	7.39251869e-02	1.36952008e-01	9.30138328e-01	5.38994351e-01	3.91143977e-01
81              	7.41158998e-02	1.37228146e-01	9.33087608e-01	5.40659704e-01	3.92427904e-01
82              	7.43048684e-02	1.37499787e-01	9.35892599e-01	5.42251168e-01	3.93641431e-01
83              	7.45045317e-02	1.37778188e-01	9.38665690e-01	5.43837377e-01	3.94828313e-01
84              	7.46970342e-02	1.38050408e-01	9.41384184e-01	5.45389126e-01	3.95995058e-01
85              	7.48895498e-02	1.38316342e-01	9.44065865e-01	5.46922482e-01	3.97143383e-01
86              	7.50842285e-02	1.38573249e-01	9.46716314e-01	5.48442386e-01	3.98273929e-01
87              	7.52820304e-02	1.38818600e-01	9.49332078e-01	5.49948070e-01	3.99384009e-01
88              	7.54734429e-02	1.39045953e-01	9.51889445e-01	5.51418165e-01	4.00471279e-01
89              	7.56583590e-02	1.39254987e-01	9.54377782e-01	5.52847250e-01	4.01530532e-01
90              	7.58368440e-02	1.39446041e-01	9.56789575e-01	5.54231632e-01	4.02557944e-01
91              	7.60091953e-02	1.39619875e-01	9.59118875e-01	5.55568633e-01	4.03550242e-01
92              	7.61803663e-02	1.39780048e-01	9.61370968e-01	5.56865850e-01	4.04505118e-01
93              	7.63296014e-02	1.39911258e-01	9.63450707e-01	5.58054955e-01	4.05395752e-01
94              	7.64853099e-02	1.40035602e-01	9.65493659e-01	5.59232140e-01	4.06261520e-01
