AoA_deg,SST_Status,SST_Reporting_method,SST_Representative_iteration_or_window,CL_SST,CL_XFOIL_P240,Delta_CL_SST_minus_XFOIL,Delta_CL_pct_of_XFOIL,CD_SST,CD_XFOIL_P240,Delta_CD_SST_minus_XFOIL,Delta_CD_pct_of_XFOIL,Cm_SST_raw_OpenFOAM_plusZ,Cm_SST_XFOIL_sign_convention,Cm_XFOIL_P240,Delta_Cm_comparable_SST_minus_XFOIL,Abs_Delta_Cm,XFOIL_CDp,XFOIL_Top_Xtr,XFOIL_Bot_Xtr,SST_CL_std,SST_CD_std,SST_Cm_raw_std
0.0,FORMAL_CONVERGENCE,final_converged_iteration,1770,0.000577918684,-0.0,0.000577918684,,0.0105487884,0.00533,0.0052187884,97.91347842401503,4.45975816e-05,-4.45975816e-05,0.0,-4.45975816e-05,4.45975816e-05,0.00035,0.6875,0.6875,,,
2.0,FORMAL_CONVERGENCE,final_converged_iteration,1242,0.199660119,0.1937,0.005960118999999986,3.0769845121321557,0.0110956958,0.0057,0.005395695799999999,94.66132982456138,-0.00271589292,0.00271589292,0.0077,-0.00498410708,0.00498410708,0.0005,0.4825,0.864,,,
4.0,FORMAL_CONVERGENCE,final_converged_iteration,1326,0.400071095,0.4152,-0.015128905000000026,-3.6437632466281373,0.0125789199,0.00724,0.005338919900000001,73.74198756906078,-0.00521316481,0.00521316481,0.0088,-0.00358683519,0.00358683519,0.00103,0.2596,0.9587,,,
6.0,FORMAL_CONVERGENCE,final_converged_iteration,1432,0.598561825,0.6779,-0.07933817499999996,-11.703521905885818,0.0149929678,0.00982,0.005172967799999999,52.677879837067195,-0.00776758076,0.00776758076,-0.0003,0.00806758076,0.00806758076,0.00211,0.0844,0.9837,,,
8.0,FORMAL_CONVERGENCE,final_converged_iteration,1576,0.791178706,0.9432,-0.15202129400000008,-16.11760962680238,0.0184056079,0.01238,0.006025607899999999,48.672115508885284,-0.0107863079,0.0107863079,-0.0107,0.0214863079,0.0214863079,0.0036,0.0371,0.9993,,,
10.0,FORMAL_CONVERGENCE,final_converged_iteration,1845,0.973897283,1.0884,-0.11450271700000003,-10.52027903344359,0.0229264556,0.01512,0.0078064556,51.629997354497355,-0.0145377761,0.0145377761,0.0035,0.0110377761,0.0110377761,0.00532,0.0258,1.0,,,
12.0,FORMAL_CONVERGENCE,final_converged_iteration,2350,1.14065128,1.2091,-0.06844872000000013,-5.66112976594162,0.0286933768,0.01885,0.009843376800000001,52.21950557029179,-0.019252093,0.019252093,0.0209,-0.001647906999999997,0.001647906999999997,0.00756,0.0201,1.0,,,
14.0,FORMAL_CONVERGENCE,final_converged_iteration,3234,1.27913681,1.2723,0.0068368100000000265,0.5373583274384993,0.0362897327,0.02514,0.011149732700000001,44.350567621320614,-0.0247839907,0.0247839907,0.0418,-0.017016009299999996,0.017016009299999996,0.01122,0.017,1.0,,,
14.5,FORMAL_CONVERGENCE,final_converged_iteration,4102,1.32799888,1.289,0.03899888000000007,3.025514352211022,0.0372335706,0.02735,0.009883570600000002,36.13736965265083,-0.024918588,0.024918588,0.0447,-0.019781411999999998,0.019781411999999998,0.0127,0.0165,1.0,,,
15.0,FORMAL_CONVERGENCE,final_converged_iteration,5015,1.35940359,1.3001,0.05930359000000007,4.561463733558963,0.0394241644,0.03032,0.009104164400000003,30.026927440633255,-0.0258851796,0.0258851796,0.0468,-0.020914820400000003,0.020914820400000003,0.01474,0.0159,1.0,,,
15.5,FORMAL_CONVERGENCE,final_converged_iteration,5954,1.38447715,1.306,0.07847714999999988,6.008970137825412,0.0420998867,0.03425,0.007849886699999996,22.91937722627736,-0.0267994865,0.0267994865,0.0477,-0.0209005135,0.0209005135,0.01754,0.0155,1.0,,,
16.0,FORMAL_CONVERGENCE,final_converged_iteration,6913,1.40438553,1.2985,0.10588553000000012,8.154449749711214,0.0452356225,0.04024,0.004995622500000005,12.414568836978145,-0.0274067357,0.0274067357,0.047,-0.0195932643,0.0195932643,0.02205,0.0151,1.0,,,
