face_local_index,x_over_c,y_over_c,surface,Cp
0,0.204604,-0.02713335,lower,0.52471014
1,0.202394,-0.02722195,lower,0.52669672
2,0.20018400000000003,-0.0273092,lower,0.52876894
3,0.19797399999999998,-0.027395049999999997,lower,0.53093553
4,0.1957645,-0.0274794,lower,0.5331894
5,0.1935555,-0.027562200000000002,lower,0.53550923
6,0.1913465,-0.0276434,lower,0.53790509
7,0.1891385,-0.0277229,lower,0.54035231
8,0.1869325,-0.02780065,lower,0.54284968
9,0.184728,-0.0278766,lower,0.54538956
10,0.182525,-0.02795065,lower,0.54798587
11,0.18032399999999998,-0.0280228,lower,0.55060575
12,0.1781255,-0.02809295,lower,0.55329381
13,0.17592999999999998,-0.028161,lower,0.55600923
14,0.17373699999999997,-0.0282269,lower,0.55878528
15,0.171547,-0.0282906,lower,0.56160948
16,0.1693605,-0.02835205,lower,0.56447462
17,0.1671775,-0.02841115,lower,0.56740068
18,0.1649985,-0.02846785,lower,0.5703782
19,0.162824,-0.028522099999999998,lower,0.57339851
20,0.160654,-0.028573750000000002,lower,0.57649698
21,0.15848849999999998,-0.0286228,lower,0.57964262
22,0.156328,-0.0286692,lower,0.58285266
23,0.1541725,-0.028712849999999998,lower,0.58611258
24,0.1520225,-0.0287537,lower,0.58945013
25,0.149878,-0.028791650000000002,lower,0.59284053
26,0.1477395,-0.028826650000000002,lower,0.59630951
27,0.1456075,-0.028858650000000003,lower,0.59982866
28,0.143482,-0.028887549999999998,lower,0.60343543
29,0.14136349999999998,-0.02891325,lower,0.60709984
30,0.139252,-0.02893575,lower,0.61084349
31,0.13714749999999998,-0.028955,lower,0.61465689
32,0.13505050000000002,-0.02897085,lower,0.61855007
33,0.132961,-0.028983250000000002,lower,0.62251386
34,0.1308795,-0.0289922,lower,0.62655569
35,0.1288065,-0.028997600000000002,lower,0.63067275
36,0.126742,-0.02899935,lower,0.63487922
37,0.12468649999999999,-0.0289974,lower,0.63916131
38,0.12264,-0.02899165,lower,0.64354293
39,0.1206025,-0.028982050000000002,lower,0.64799017
40,0.1185745,-0.0289686,lower,0.65254054
41,0.11655650000000001,-0.0289512,lower,0.657158
42,0.1145485,-0.028929749999999997,lower,0.66188655
43,0.1125505,-0.028904199999999998,lower,0.66669012
44,0.110563,-0.0288745,lower,0.67159611
45,0.1085865,-0.02884055,lower,0.67659142
46,0.106621,-0.028802300000000003,lower,0.68168841
47,0.1046665,-0.0287597,lower,0.68688077
48,0.1027235,-0.02871265,lower,0.69216656
49,0.1007922,-0.028661150000000003,lower,0.69755404
50,0.09887275000000001,-0.0286051,lower,0.70304348
51,0.09696550000000001,-0.0285444,lower,0.70863616
52,0.0950706,-0.02847905,lower,0.71432524
53,0.0931884,-0.028409,lower,0.720116
54,0.09131905,-0.028334150000000002,lower,0.72601771
55,0.08946275000000001,-0.0282544,lower,0.7320185
56,0.08761975,-0.02816975,lower,0.73813278
57,0.0857903,-0.02808015,lower,0.74433948
58,0.08397465,-0.027985500000000003,lower,0.75066482
59,0.082173,-0.02788575,lower,0.75709192
60,0.08038555,-0.0277809,lower,0.76361227
