AoA_deg,Status,Snapshot_time,Cd_pressure_snapshot,Cd_viscous_snapshot,Cd_snapshot_sum,Cd_forceCoeffs_same_snapshot,Cd_snapshot_closure_error,pressure_drag_percent_snapshot,viscous_drag_percent_snapshot,Cl_pressure_snapshot,Cl_viscous_snapshot,Cl_snapshot_sum,Cl_forceCoeffs_same_snapshot,Cl_snapshot_closure_error,Cm_pressure_raw_snapshot,Cm_viscous_raw_snapshot,Cm_snapshot_sum_raw,Cm_forceCoeffs_same_snapshot_raw,Cm_snapshot_closure_error_raw,Reporting_method,Reporting_window,Reporting_n_rows,Cd_reported,Cl_reported,Cm_reported_raw,Cd_snapshot_minus_reported,Cl_snapshot_minus_reported,Cm_snapshot_minus_reported_raw
0.0,FORMAL,1102,0.004046697795555556,0.008622035795555556,0.012668733591111111,0.0126687337,-1.0888888922477857e-10,31.942401870340696,68.05759812965931,0.3966190791111111,0.00017924596977777777,0.39679832508088886,0.396798325,8.088885117274458e-11,0.09061021600000001,-0.00045681125955555554,0.09015340474044445,0.0901534047,4.0444453341947906e-11,FINAL_CONVERGED_ROW,1102,1,0.0126687337,0.396798325,0.0901534047,-1.0888888922477857e-10,8.088885117274458e-11,4.0444453341947906e-11
2.0,FORMAL,1215,0.006043121412155596,0.008663187378091207,0.014706308790246803,0.0147063087,9.024680308611366e-11,41.09203402667149,58.907965973328515,0.5958083150982263,0.00016580100838189317,0.5959741161066082,0.595974116,1.066081667389085e-10,0.08819939564444444,-0.0005207569102222223,0.08767863873422221,0.0876786386,1.3422221667447332e-10,FINAL_CONVERGED_ROW,1215,1,0.0147063087,0.595974116,0.0876786386,9.024680308611366e-11,1.066081667389085e-10,1.3422221667447332e-10
4.0,FORMAL,1309,0.008931517252865142,0.008616154519203818,0.017547671772068958,0.0175476716,1.7206895977506242e-10,50.898588535726134,49.10141146427387,0.7910845292269049,0.00015536896248964023,0.7912398981893946,0.791239898,1.8939450008303993e-10,0.08528550702222222,-0.0005791651671111112,0.08470634185511111,0.0847063417,1.5511110451615906e-10,FINAL_CONVERGED_ROW,1309,1,0.0175476716,0.791239898,0.0847063417,1.7206895977506242e-10,1.8939450008303993e-10,1.5511110451615906e-10
6.0,FORMAL,1461,0.012659740462940074,0.008480203287973297,0.02113994375091337,0.0211399437,5.091337074158986e-11,59.88540278113606,40.11459721886394,0.9783486642441923,0.00016037616172744884,0.9785090404059198,0.97850904,4.0591974226344973e-10,0.08140611893333333,-0.000630732288,0.08077538664533333,0.0807753867,-5.46666600875767e-11,FINAL_CONVERGED_ROW,1461,1,0.0211399437,0.97850904,0.0807753867,5.091337074158986e-11,4.0591974226344973e-10,-5.46666600875767e-11
8.0,FORMAL,1625,0.017417028518061508,0.0082581041730599,0.025675132691121406,0.025675133,-3.088785928417881e-10,67.83617723652274,32.16382276347726,1.1548038767437363,0.00018986561552484667,1.154993742359261,1.15499375,-7.64073893044781e-09,0.07658297022222221,-0.0006745796675555556,0.07590839055466665,0.0759083907,-1.453333425827097e-10,FINAL_CONVERGED_ROW,1625,1,0.025675133,1.15499375,0.0759083907,-3.088785928417881e-10,-7.64073893044781e-09,-1.453333425827097e-10
10.0,FORMAL,1774,0.023407572237381657,0.007948268870164634,0.031355841107546294,0.0313558414,-2.9245370708474994e-10,74.65139320325311,25.348606796746886,1.3155945641810962,0.00025015882530488303,1.3158447230064012,1.31584472,3.006401128047287e-09,0.0706291144,-0.0007079124053333333,0.06992120199466667,0.0699212021,-1.0533332539530704e-10,FINAL_CONVERGED_ROW,1774,1,0.0313558414,1.31584472,0.0699212021,-2.9245370708474994e-10,3.006401128047287e-09,-1.0533332539530704e-10
12.0,FORMAL,2005,0.03092673470382485,0.007536443255164088,0.03846317795898894,0.0384631781,-1.4101106393660245e-10,80.40608276518451,19.593917234815496,1.44973302178434,0.00034373052564193166,1.450076752309982,1.45007675,2.309981983472653e-09,0.06303634915555556,-0.0007252429457777778,0.062311106209777783,0.0623111062,9.777782750131081e-12,FINAL_CONVERGED_ROW,2005,1,0.0384631781,1.45007675,0.0623111062,-1.4101106393660245e-10,2.309981983472653e-09,9.777782750131081e-12
14.0,FORMAL,3166,0.039917055298539256,0.007054798985707976,0.04697185428424723,0.0469718535,7.842472296570868e-10,84.98079521618138,15.01920478381863,1.5642819289133758,0.0004781529948551539,1.564760081908231,1.56476008,1.908230906622066e-09,0.05606975644444444,-0.0007331660782222222,0.05533659036622222,0.0553365906,-2.3377778185507125e-10,FINAL_CONVERGED_ROW,3166,1,0.0469718535,1.56476008,0.0553365906,7.842472296570868e-10,1.908230906622066e-09,-2.3377778185507125e-10
14.5,FORMAL,9900,0.042165213677695025,0.0069339868496382595,0.049099200527333284,0.0490992,5.273332812083531e-10,85.87759724157189,14.1224027584281,1.5933841818260008,0.0005188105559902759,1.5939029923819912,1.59390299,2.3819912708944457e-09,0.0548285056,-0.0007367461146666666,0.05409175948533333,0.0540917594,8.533333067939353e-11,FINAL_CONVERGED_ROW,9900,1,0.0490992,1.59390299,0.0540917594,5.273332812083531e-10,2.3819912708944457e-09,8.533333067939353e-11
15.0,STABLE_NOT_FORMAL,16000,0.04571322305075956,0.006781427999128911,0.05249465104988847,0.0524945095,1.415498884702049e-07,87.0816781071958,12.918321892804197,1.6080866465539068,0.0005562710643786265,1.6086429176182855,1.60864292,-2.381714603316709e-09,0.053185018933333335,-0.0007303136062222222,0.05245470532711111,0.0524547054,-7.288888936862747e-11,FINAL_ITERATIVE_WINDOW_MEAN,15001-16000,1000,0.052379650169800035,1.6083353273300005,0.05229873290500001,0.00011500088008843667,0.0003075902882849757,0.0001559724221111003
15.5,STABLE_NOT_FORMAL,12000,0.0497254108194112,0.00662077564723071,0.05634618646664191,0.0563461853,1.1666419150180296e-09,88.24982476649002,11.75017523350998,1.6198951407480222,0.0005957028572632548,1.6204908436052854,1.62049084,3.605285403551761e-09,0.05188557911111111,-0.0007221915964444445,0.05116338751466666,0.0511633874,1.1466665811310506e-10,FINAL_ITERATIVE_WINDOW_MEAN,11001-12000,1000,0.05611518387339998,1.6199761007,0.050915339287900034,0.0002310025932419288,0.0005147429052854147,0.000248048226766627
16.0,STABLE_NOT_FORMAL,12000,0.0536146654439886,0.006454691928635443,0.060069357372624047,0.0600686625,6.948726240449399e-07,89.25460132926759,10.745398670732406,1.630424446682525,0.0006370009472254654,1.6310614476297505,1.63106147,-2.237024943063659e-08,0.050804517244444444,-0.0007136627262222222,0.05009085451822222,0.0500908545,1.822222234215687e-11,FINAL_ITERATIVE_WINDOW_MEAN,11001-12000,1000,0.06051891385249998,1.6320006531400013,0.050575548614600015,-0.0004495564798759344,-0.0009392055102508401,-0.0004846940963777954
