#      x          Cp  
     1.00000   -0.00684
     0.99168   -0.00910
     0.98037   -0.01213
     0.96727   -0.01558
     0.95272   -0.01935
     0.93720   -0.02324
     0.92112   -0.02703
     0.90474   -0.03050
     0.88821   -0.03330
     0.87160   -0.03518
     0.85494   -0.03793
     0.83827   -0.04633
     0.82158   -0.05706
     0.80488   -0.06988
     0.78817   -0.08473
     0.77146   -0.10153
     0.75475   -0.12017
     0.73803   -0.14054
     0.72132   -0.16251
     0.70460   -0.18596
     0.68789   -0.21077
     0.67118   -0.23680
     0.65447   -0.26395
     0.63777   -0.29213
     0.62108   -0.32127
     0.60440   -0.35131
     0.58772   -0.38221
     0.57106   -0.41396
     0.55441   -0.44656
     0.53778   -0.48003
     0.52116   -0.51441
     0.50456   -0.54974
     0.48798   -0.58611
     0.47143   -0.62357
     0.45489   -0.66223
     0.43839   -0.70219
     0.42191   -0.74357
     0.40546   -0.78651
     0.38905   -0.83116
     0.37268   -0.87769
     0.35635   -0.92630
     0.34007   -0.97720
     0.32383   -1.03066
     0.30766   -1.08697
     0.29154   -1.14646
     0.27550   -1.20953
     0.25953   -1.27666
     0.24366   -1.34840
     0.22788   -1.42542
     0.21222   -1.50852
     0.19670   -1.59867
     0.18135   -1.69706
     0.16619   -1.80512
     0.15127   -1.92458
     0.13666   -2.05749
     0.12246   -2.20618
     0.10877   -2.37312
     0.09575   -2.56062
     0.08358   -2.77040
     0.07242   -3.00307
     0.06239   -3.25794
     0.05354   -3.53318
     0.04581   -3.82613
     0.03910   -4.13331
     0.03329   -4.44999
     0.02826   -4.77138
     0.02387   -5.11524
     0.02003   -5.67410
     0.01666   -6.99898
     0.01369   -7.70997
     0.01108   -7.79292
     0.00879   -7.89959
     0.00678   -8.08281
     0.00505   -8.38991
     0.00358   -8.81150
     0.00236   -9.16492
     0.00140   -9.31229
     0.00070   -9.18682
     0.00024   -8.76705
     0.00003   -8.09583
     0.00003   -7.27214
     0.00024   -6.30301
     0.00070   -5.21917
     0.00140   -4.11587
     0.00236   -3.07982
     0.00358   -2.16932
     0.00505   -1.40746
     0.00678   -0.79168
     0.00879   -0.30595
     0.01108    0.07063
     0.01369    0.35803
     0.01666    0.57432
     0.02003    0.73337
     0.02387    0.84731
     0.02826    0.92441
     0.03329    0.97217
     0.03910    0.99558
     0.04581    0.99924
     0.05354    0.98674
     0.06239    0.96159
     0.07242    0.92689
     0.08358    0.88614
     0.09575    0.84196
     0.10877    0.79704
     0.12246    0.75280
     0.13666    0.71047
     0.15127    0.67049
     0.16619    0.63312
     0.18135    0.59835
     0.19670    0.56610
     0.21222    0.53622
     0.22788    0.50853
     0.24366    0.48286
     0.25953    0.45905
     0.27550    0.43692
     0.29154    0.41634
     0.30766    0.39716
     0.32383    0.37927
     0.34007    0.36254
     0.35635    0.34688
     0.37268    0.33218
     0.38905    0.31837
     0.40546    0.30537
     0.42191    0.29310
     0.43839    0.28149
     0.45489    0.27049
     0.47143    0.26005
     0.48798    0.25010
     0.50456    0.24061
     0.52116    0.23153
     0.53778    0.22282
     0.55441    0.21445
     0.57106    0.20638
     0.58772    0.19858
     0.60440    0.19103
     0.62108    0.18370
     0.63777    0.17656
     0.65447    0.16959
     0.67118    0.16277
     0.68789    0.15609
     0.70460    0.14951
     0.72132    0.14304
     0.73803    0.13664
     0.75475    0.13030
     0.77146    0.12402
     0.78817    0.11776
     0.80488    0.11152
     0.82158    0.10527
     0.83827    0.09899
     0.85494    0.09265
     0.87160    0.08622
     0.88821    0.07966
     0.90474    0.07290
     0.92112    0.06587
     0.93720    0.05849
     0.95272    0.05063
     0.96727    0.04230
     0.98037    0.03272
     0.99168    0.02474
     1.00000   -0.00684
