# NACA0012 V9 SST AoA = 14.5 deg
# x/c          y/c          Cp
0.1977400000  -0.0572412000  0.5515795556
0.2000000000  -0.0573734000  0.5469208889
0.1954800000  -0.0571051000  0.5561217778
0.1932210000  -0.0569652000  0.5607191111
0.1909630000  -0.0568213000  0.5653733333
0.1887050000  -0.0566735000  0.5700924444
0.1864500000  -0.0565217000  0.5748675556
0.1841960000  -0.0563660000  0.5796960000
0.1819440000  -0.0562062000  0.5845911111
0.1796940000  -0.0560423000  0.5895457778
0.1774470000  -0.0558744000  0.5945564444
0.1752020000  -0.0557023000  0.5996364444
0.1729610000  -0.0555261000  0.6047768889
0.1707240000  -0.0553457000  0.6099866667
0.1684900000  -0.0551611000  0.6152524444
0.1662600000  -0.0549723000  0.6205768889
0.1640350000  -0.0547793000  0.6259662222
0.1618140000  -0.0545820000  0.6314204444
0.1595970000  -0.0543804000  0.6369395556
0.1573870000  -0.0541745000  0.6425146667
0.1551810000  -0.0539643000  0.6481608889
0.1529810000  -0.0537497000  0.6538693333
0.1507880000  -0.0535308000  0.6596364444
0.1486000000  -0.0533075000  0.6654684444
0.1464190000  -0.0530798000  0.6713680000
0.1442450000  -0.0528476000  0.6773288889
0.1420780000  -0.0526111000  0.6833537778
0.1399190000  -0.0523701000  0.6894400000
0.1377670000  -0.0521247000  0.6955848889
0.1356230000  -0.0518747000  0.7017911111
0.1334870000  -0.0516204000  0.7080604444
0.1313600000  -0.0513615000  0.7143911111
0.1292420000  -0.0510982000  0.7207760000
0.1271320000  -0.0508303000  0.7272266667
0.1250320000  -0.0505579000  0.7337342222
0.1229420000  -0.0502811000  0.7402915556
0.1208610000  -0.0499997000  0.7469048889
0.1187900000  -0.0497138000  0.7535697778
0.1167300000  -0.0494234000  0.7602933333
0.1146810000  -0.0491285000  0.7670666667
0.1126420000  -0.0488290000  0.7738853333
0.1106140000  -0.0485250000  0.7807493333
0.1085980000  -0.0482165000  0.7876560000
0.1065940000  -0.0479035000  0.7946044444
0.1046010000  -0.0475860000  0.8015946667
0.1026210000  -0.0472640000  0.8086213333
0.1006530000  -0.0469374000  0.8156755556
0.0986980000  -0.0466064000  0.8227582222
0.0967557000  -0.0462709000  0.8298657778
0.0948266000  -0.0459309000  0.8369964444
0.0929110000  -0.0455864000  0.8441377778
0.0910090000  -0.0452375000  0.8512915556
0.0891210000  -0.0448841000  0.8584524444
0.0872471000  -0.0445263000  0.8656106667
0.0853876000  -0.0441640000  0.8727582222
0.0835427000  -0.0437974000  0.8798924444
0.0817128000  -0.0434263000  0.8870053333
0.0798979000  -0.0430509000  0.8940800000
0.0780983000  -0.0426711000  0.9011200000
0.0763144000  -0.0422870000  0.9081066667
0.0745462000  -0.0418986000  0.9150400000
0.0727940000  -0.0415058000  0.9218933333
0.0710581000  -0.0411087000  0.9286666667
0.0693387000  -0.0407074000  0.9353422222
0.0676359000  -0.0403018000  0.9418933333
0.0659501000  -0.0398921000  0.9483200000
0.0642813000  -0.0394781000  0.9546044444
0.0626299000  -0.0390599000  0.9607200000
0.0609961000  -0.0386376000  0.9666577778
0.0593800000  -0.0382111000  0.9723822222
0.0577818000  -0.0377806000  0.9778666667
0.0562018000  -0.0373460000  0.9831022222
0.0546402000  -0.0369073000  0.9880533333
0.0530971000  -0.0364646000  0.9926844444
0.0515728000  -0.0360179000  0.9969688889
0.0500675000  -0.0355673000  1.0008622222
0.0485813000  -0.0351127000  1.0043377778
0.0471144000  -0.0346542000  1.0073422222
0.0456671000  -0.0341919000  1.0098400000
0.0442395000  -0.0337257000  1.0117688889
0.0428317000  -0.0332556000  1.0130844444
