face_local_index,x_over_c,y_over_c,surface,Cp
0,0.204604,-0.02713335,lower,0.61476584
1,0.202394,-0.02722195,lower,0.61737628
2,0.20018400000000003,-0.0273092,lower,0.62002143
3,0.19797399999999998,-0.027395049999999997,lower,0.6227093
4,0.1957645,-0.0274794,lower,0.62544063
5,0.1935555,-0.027562200000000002,lower,0.6282082
6,0.1913465,-0.0276434,lower,0.63102941
7,0.1891385,-0.0277229,lower,0.63389214
8,0.1869325,-0.02780065,lower,0.63679988
9,0.184728,-0.0278766,lower,0.63975
10,0.182525,-0.02795065,lower,0.64275831
11,0.18032399999999998,-0.0280228,lower,0.64579665
12,0.1781255,-0.02809295,lower,0.64890387
13,0.17592999999999998,-0.028161,lower,0.65204546
14,0.17373699999999997,-0.0282269,lower,0.65524932
15,0.171547,-0.0282906,lower,0.65850515
16,0.1693605,-0.02835205,lower,0.66180572
17,0.1671775,-0.02841115,lower,0.66516745
18,0.1649985,-0.02846785,lower,0.66858266
19,0.162824,-0.028522099999999998,lower,0.6720422
20,0.160654,-0.028573750000000002,lower,0.67557732
21,0.15848849999999998,-0.0286228,lower,0.67915999
22,0.156328,-0.0286692,lower,0.6828053
23,0.1541725,-0.028712849999999998,lower,0.68649986
24,0.1520225,-0.0287537,lower,0.69026735
25,0.149878,-0.028791650000000002,lower,0.69408665
26,0.1477395,-0.028826650000000002,lower,0.69797812
27,0.1456075,-0.028858650000000003,lower,0.70191792
28,0.143482,-0.028887549999999998,lower,0.70593729
29,0.14136349999999998,-0.02891325,lower,0.71001068
30,0.139252,-0.02893575,lower,0.71415505
31,0.13714749999999998,-0.028955,lower,0.71836309
32,0.13505050000000002,-0.02897085,lower,0.72264221
33,0.132961,-0.028983250000000002,lower,0.72698452
34,0.1308795,-0.0289922,lower,0.73139471
35,0.1288065,-0.028997600000000002,lower,0.73587037
36,0.126742,-0.02899935,lower,0.74042385
37,0.12468649999999999,-0.0289974,lower,0.74504059
38,0.12264,-0.02899165,lower,0.74974141
39,0.1206025,-0.028982050000000002,lower,0.75449743
40,0.1185745,-0.0289686,lower,0.75933754
41,0.11655650000000001,-0.0289512,lower,0.76423354
42,0.1145485,-0.028929749999999997,lower,0.76921658
43,0.1125505,-0.028904199999999998,lower,0.77426118
44,0.110563,-0.0288745,lower,0.77938378
45,0.1085865,-0.02884055,lower,0.7845761
46,0.106621,-0.028802300000000003,lower,0.7898442
47,0.1046665,-0.0287597,lower,0.79518297
48,0.1027235,-0.02871265,lower,0.80058903
49,0.1007922,-0.028661150000000003,lower,0.80606807
50,0.09887275000000001,-0.0286051,lower,0.8116169
51,0.09696550000000001,-0.0285444,lower,0.81723599
52,0.0950706,-0.02847905,lower,0.8229175
53,0.0931884,-0.028409,lower,0.82866382
54,0.09131905,-0.028334150000000002,lower,0.83447842
55,0.08946275000000001,-0.0282544,lower,0.84035117
56,0.08761975,-0.02816975,lower,0.8462888
57,0.0857903,-0.02808015,lower,0.85227342
58,0.08397465,-0.027985500000000003,lower,0.85832135
59,0.082173,-0.02788575,lower,0.86441638
60,0.08038555,-0.0277809,lower,0.87054797
61,0.07861255,-0.027670800000000002,lower,0.87673907
62,0.0768542,-0.0275554,lower,0.88295219
63,0.07511075,-0.02743475,lower,0.8892024
64,0.0733824,-0.027308699999999998,lower,0.89547378
65,0.07166934999999999,-0.0271772,lower,0.90176756
66,0.06997185,-0.027040250000000002,lower,0.9080688
67,0.06829004999999999,-0.026897749999999998,lower,0.91437004
68,0.0666242,-0.02674965,lower,0.92066489
69,0.06497454999999999,-0.02659595,lower,0.92693671
70,0.06334129999999999,-0.026436550000000003,lower,0.9331816
71,0.0617246,-0.0262714,lower,0.93938089
72,0.06012465,-0.0261005,lower,0.94551778
73,0.05854175,-0.025923750000000002,lower,0.95159084
74,0.05697605,-0.02574105,lower,0.95756418
75,0.055427649999999995,-0.025552449999999997,lower,0.96342933
76,0.05389685,-0.0253579,lower,0.96916142
77,0.0523839,-0.0251573,lower,0.97473698
78,0.0508889,-0.024950650000000005,lower,0.98012773
79,0.04941205,-0.0247379,lower,0.98531058
80,0.04795355,-0.024519,lower,0.99025058
81,0.046513599999999995,-0.0242939,lower,0.99491084
82,0.045092400000000005,-0.024062550000000002,lower,0.99925884
83,0.0436901,-0.0238249,lower,1.0032469
84,0.04230685,-0.02358095,lower,1.0068284
85,0.0409429,-0.0233307,lower,1.0099547
86,0.03959845,-0.02307405,lower,1.0125693
87,0.038273600000000005,-0.02281095,lower,1.0146073
88,0.03696855,-0.022541400000000003,lower,1.0160031
89,0.03568345,-0.022265350000000003,lower,1.0166821
90,0.0344185,-0.021982750000000002,lower,1.0165605
91,0.0331739,-0.02169355,lower,1.0155464
92,0.03194975,-0.0213978,lower,1.0135408
93,0.030746250000000003,-0.02109545,lower,1.0104305
94,0.02956355,-0.0207864,lower,1.0060967
95,0.02840175,-0.02047065,lower,1.0003998
96,0.027261050000000002,-0.020148199999999998,lower,0.99320036
97,0.026141650000000002,-0.01981905,lower,0.9843336
98,0.02504365,-0.019483100000000003,lower,0.97361502
99,0.0239672,-0.01914035,lower,0.96086924
100,0.02291245,-0.0187908,lower,0.94585289
101,0.021879550000000005,-0.018434350000000002,lower,0.92835796
102,0.020868650000000002,-0.018071049999999998,lower,0.90813404
103,0.019879849999999998,-0.0177009,lower,0.88488785
104,0.0189133,-0.017323850000000002,lower,0.8582956
105,0.01796915,-0.01693985,lower,0.82804285
106,0.0170475,-0.0165489,lower,0.79379401
107,0.0161485,-0.016151,lower,0.75514792
108,0.015272299999999999,-0.0157461,lower,0.71164487
109,0.01441895,-0.0153342,lower,0.6628699
110,0.0135886,-0.0149153,lower,0.60832902
111,0.0127814,-0.0144894,lower,0.54753305
112,0.0119974,-0.01405645,lower,0.47987474
113,0.01123675,-0.01361645,lower,0.40478383
114,0.01049955,-0.013169400000000001,lower,0.32168083
115,0.0097859,-0.01271525,lower,0.22996925
116,0.009095935,-0.012254000000000001,lower,0.1289857
117,0.00842971,-0.0117857,lower,0.018171735
118,0.007787334999999999,-0.0113103,lower,-0.1032424
119,0.007168905,-0.0108278,lower,-0.23578108
120,0.00657451,-0.010338199999999999,lower,-0.37995903
121,0.00600423,-0.009841465,lower,-0.53633789
122,0.00545815,-0.00933763,lower,-0.70517242
123,0.004936355,-0.00882668,lower,-0.88688704
124,0.00443892,-0.008308615,lower,-1.0815372
125,0.0039659199999999995,-0.007783430000000001,lower,-1.2890724
126,0.00351743,-0.0072511350000000006,lower,-1.5091377
127,0.00309351,-0.006711725,lower,-1.7411208
128,0.0026942299999999997,-0.006165205,lower,-1.9848247
129,0.002319655,-0.00561158,lower,-2.2384768
130,0.00196984,-0.005050855,lower,-2.500938
131,0.0016448399999999998,-0.004483035,lower,-2.7707553
132,0.0013447049999999999,-0.003908125,lower,-3.0459686
133,0.001069491,-0.003326135,lower,-3.3245724
134,0.0008192445,-0.0027370750000000003,lower,-3.6042612
135,0.000594004,-0.00214096,lower,-3.8830063
136,0.0003938115,-0.001537795,lower,-4.1586289
137,0.000218703,-0.0009275919999999999,lower,-4.4292452
138,6.8712e-05,-0.000310367,lower,-4.6935394
139,-5.59415e-05,0.000312921,upper,-4.9507124
140,-0.0001548525,0.0009403610000000001,upper,-5.2005579
141,-0.00022780750000000002,0.00157099,upper,-5.4382099
142,-0.00027478599999999995,0.00220479,upper,-5.6597008
143,-0.000295771,0.00284174,upper,-5.8627867
144,-0.000290749,0.00348181,upper,-6.0457717
145,-0.0002597095,0.004124975,upper,-6.2074652
146,-0.000202645,0.00477121,upper,-6.3470294
147,-0.0001195523,0.00542048,upper,-6.4638116
148,-1.0430500000000001e-05,0.00607275,upper,-6.558965
149,0.0001247178,0.00672799,upper,-6.6333405
150,0.000285886,0.007386165,upper,-6.6862563
151,0.0004730645,0.00804723,upper,-6.719927
152,0.0006862405,0.008711145,upper,-6.7360211
153,0.000925398,0.009377864999999999,upper,-6.7358952
154,0.00119052,0.01004736,upper,-6.7213103
155,0.0014815800000000001,0.01071955,upper,-6.6939901
156,0.0017985499999999999,0.011394399999999999,upper,-6.655672
157,0.0021414,0.01207185,upper,-6.6080473
158,0.0025101,0.012751849999999999,upper,-6.5530792
159,0.00290462,0.013434350000000001,upper,-6.49207
160,0.00332491,0.014119300000000001,upper,-6.4268382
161,0.0037709299999999996,0.014806650000000001,upper,-6.35909
162,0.004242635,0.015496300000000001,upper,-6.2898538
163,0.00473997,0.0161882,upper,-6.2209238
164,0.00526289,0.0168823,upper,-6.1533358
165,0.00581133,0.0175785,upper,-6.074514
166,0.0063852349999999995,0.01827675,upper,-5.9645578
167,0.006984545,0.018977,upper,-5.8324374
168,0.00760918,0.01967915,upper,-5.70645
169,0.00825908,0.0203831,upper,-5.594306
170,0.008934174999999999,0.0210888,upper,-5.4921948
171,0.00963438,0.0217962,upper,-5.3958236
172,0.010359625,0.0225052,upper,-5.3054853
173,0.0111098,0.0232157,upper,-5.2179268
174,0.011884850000000002,0.02392765,upper,-5.1330312
175,0.01268465,0.024640950000000002,upper,-5.0509952
176,0.013509150000000001,0.02535545,upper,-4.9701357
177,0.01435825,0.02607115,upper,-4.8918636
178,0.0152318,0.02678795,upper,-4.8152172
179,0.0161297,0.027505750000000002,upper,-4.740345
180,0.017051900000000002,0.028224449999999998,upper,-4.6676073
181,0.017998300000000002,0.0289439,upper,-4.5964732
182,0.01896865,0.029664100000000002,upper,-4.5266684
183,0.01996295,0.03038495,upper,-4.4594809
184,0.020981100000000003,0.031106299999999996,upper,-4.3937183
185,0.0220229,0.03182805,upper,-4.3296188
186,0.023088249999999998,0.03255015,upper,-4.2670467
187,0.02417705,0.033272499999999997,upper,-4.206641
188,0.025289150000000003,0.03399495,upper,-4.1479142
189,0.0264244,0.03471745,upper,-4.0901147
190,0.02758265,0.035439849999999995,upper,-4.034522
191,0.02876375,0.0361621,upper,-3.9802856
192,0.0299676,0.0368841,upper,-3.9277197
193,0.031194,0.037605650000000004,upper,-3.8763617
194,0.0324428,0.03832675,upper,-3.8265334
195,0.0337139,0.0390473,upper,-3.7780501
196,0.0350071,0.0397671,upper,-3.7309769
