point_index,x_over_c,y_over_c,surface,Cp
0,1.0,0.0,upper,-0.08395
1,0.9947616,0.001475588,upper,-0.0852
2,0.9880091,0.003359849,upper,-0.08722
3,0.9804732,0.005439249,upper,-0.08951
4,0.9721927,0.007695802,upper,-0.09209
5,0.9632616,0.01009675,upper,-0.09491
6,0.9538077,0.01260138,upper,-0.09793
7,0.9439637,0.01516952,upper,-0.10112
8,0.9338444,0.0177675,upper,-0.10444
9,0.9235382,0.0203702,upper,-0.10787
10,0.9131072,0.02296036,upper,-0.11139
11,0.9025931,0.02552675,upper,-0.11498
12,0.8920227,0.02806231,upper,-0.11864
13,0.8814131,0.03056274,upper,-0.12236
14,0.870775,0.03302543,upper,-0.12613
15,0.8601152,0.03544883,upper,-0.12996
16,0.849438,0.03783202,upper,-0.13383
17,0.8387461,0.04017445,upper,-0.13775
18,0.8280416,0.04247581,upper,-0.14171
19,0.8173257,0.04473588,upper,-0.14571
20,0.8065994,0.04695453,upper,-0.14973
21,0.7958634,0.04913164,upper,-0.15377
22,0.7851184,0.05126712,upper,-0.1578
23,0.7743649,0.05336087,upper,-0.1618
24,0.7636035,0.05541278,upper,-0.1657
25,0.7528347,0.05742273,upper,-0.16941
26,0.7420589,0.05939057,upper,-0.17277
27,0.7312767,0.06131616,upper,-0.17546
28,0.7204884,0.06319931,upper,-0.17697
29,0.7096945,0.06503982,upper,-0.1772
30,0.6988955,0.06683747,upper,-0.18248
31,0.6880918,0.06859203,upper,-0.19351
32,0.677284,0.07030323,upper,-0.20787
33,0.6664724,0.07197078,upper,-0.22539
34,0.6556576,0.07359438,upper,-0.24585
35,0.64484,0.07517368,upper,-0.269
36,0.6340201,0.07670835,upper,-0.29456
37,0.6231984,0.07819798,upper,-0.3222
38,0.6123754,0.07964219,upper,-0.35163
39,0.6015516,0.08104053,upper,-0.38253
40,0.5907275,0.08239256,upper,-0.41462
41,0.5799037,0.08369779,upper,-0.44765
42,0.5690806,0.08495571,upper,-0.48139
43,0.558259,0.08616578,upper,-0.51567
44,0.5474393,0.08732745,upper,-0.55036
45,0.5366223,0.08844012,upper,-0.58537
46,0.5258084,0.08950316,upper,-0.62063
47,0.5149986,0.09051592,upper,-0.65613
48,0.5041936,0.09147772,upper,-0.69186
49,0.4933944,0.09238781,upper,-0.72785
50,0.4826023,0.09324544,upper,-0.76415
51,0.4718186,0.0940498,upper,-0.80083
52,0.4610457,0.09480002,upper,-0.83798
53,0.4502864,0.09549518,upper,-0.87572
54,0.4395451,0.09613429,upper,-0.9142
55,0.4288285,0.09671633,upper,-0.95365
56,0.4181471,0.09723998,upper,-0.99427
57,0.4075155,0.09770491,upper,-1.03687
58,0.3969629,0.09810431,upper,-1.08175
59,0.386491,0.0984199,upper,-1.12543
60,0.3760671,0.09864663,upper,-1.16753
61,0.3656804,0.09878617,upper,-1.20908
62,0.3553225,0.09883787,upper,-1.25007
63,0.3449896,0.0988012,upper,-1.29073
64,0.33468,0.09867535,upper,-1.33117
65,0.3243933,0.09845945,upper,-1.37152
66,0.31413,0.09815253,upper,-1.41185
67,0.3038911,0.09775359,upper,-1.45226
68,0.2936784,0.09726157,upper,-1.49283
69,0.2834937,0.09667541,upper,-1.53365
70,0.2733392,0.095994,upper,-1.5748
71,0.2632174,0.09521619,upper,-1.61637
72,0.2531313,0.09434083,upper,-1.65846
73,0.2430838,0.09336675,upper,-1.70118
74,0.2330784,0.09229277,upper,-1.74462
75,0.223119,0.09111769,upper,-1.78893
76,0.21321,0.08984035,upper,-1.83423
77,0.2033562,0.08845959,upper,-1.88069
78,0.1935634,0.08697434,upper,-1.92847
79,0.1838379,0.08538362,upper,-1.97778
80,0.1741876,0.08368666,upper,-2.02884
81,0.1646213,0.08188291,upper,-2.08189
82,0.1551498,0.07997226,upper,-2.13724
83,0.1457862,0.07795517,upper,-2.19519
84,0.1365463,0.07583298,upper,-2.25611
85,0.1274494,0.07360823,upper,-2.32038
86,0.1185191,0.07128515,upper,-2.38843
87,0.109784,0.06887022,upper,-2.46071
88,0.1012783,0.06637277,upper,-2.53764
89,0.09304158,0.06380564,upper,-2.61965
90,0.08511777,0.0611855,upper,-2.70706
91,0.07755311,0.0585328,upper,-2.80009
92,0.07039232,0.055871,upper,-2.89878
93,0.06367393,0.05322507,upper,-3.00294
94,0.0574257,0.05061936,upper,-3.11213
95,0.05166134,0.0480754,upper,-3.22563
96,0.04637948,0.04561015,upper,-3.34231
97,0.04156511,0.04323518,upper,-3.46049
98,0.0371927,0.04095667,upper,-3.57765
99,0.03322989,0.03877611,upper,-3.69012
100,0.02964105,0.03669134,upper,-3.79471
101,0.02639009,0.03469765,upper,-3.90324
102,0.02344257,0.03278881,upper,-4.11597
103,0.02076682,0.03095784,upper,-4.73428
104,0.01833443,0.02919751,upper,-5.1941
105,0.01612042,0.02750069,upper,-5.26051
106,0.01410305,0.02586054,upper,-5.32441
107,0.01226363,0.02427063,upper,-5.3938
108,0.01058626,0.02272501,upper,-5.47575
109,0.009057529,0.0212182,upper,-5.57666
110,0.007666261,0.01974526,upper,-5.69956
111,0.006403239,0.01830175,upper,-5.84473
112,0.005260986,0.01688372,upper,-6.01159
113,0.004233641,0.01548779,upper,-6.18872
114,0.003316728,0.01411117,upper,-6.36145
115,0.002506937,0.01275166,upper,-6.5167
116,0.001802039,0.01140785,upper,-6.64263
117,0.00120059,0.01007906,upper,-6.72733
118,0.0007016722,0.008765488,upper,-6.75883
119,0.0003047774,0.007468902,upper,-6.72528
120,8.765977e-06,0.006190261,upper,-6.61631
121,-0.000187496,0.004933378,upper,-6.426
122,-0.0002860538,0.003707157,upper,-6.15515
123,-0.0002908626,0.002496155,upper,-5.80516
124,-0.0001999701,0.001273691,lower,-5.3772
125,-7.106741e-06,3.57524e-05,lower,-4.88411
126,0.0002933567,-0.001211234,lower,-4.34779
127,0.0007074015,-0.002459291,lower,-3.77401
128,0.001239699,-0.003700414,lower,-3.17982
129,0.001892864,-0.004927023,lower,-2.58878
130,0.00266768,-0.006132649,lower,-2.02421
131,0.003563713,-0.007312409,lower,-1.50463
132,0.00458006,-0.008463063,lower,-1.04137
133,0.005716006,-0.009582912,lower,-0.63911
134,0.006971587,-0.01067157,lower,-0.29732
135,0.00834805,-0.01172969,lower,-0.01195
136,0.009848209,-0.01275859,lower,0.22291
137,0.01147663,-0.01376006,lower,0.41381
138,0.01323984,-0.0147361,lower,0.56712
139,0.01514651,-0.01568878,lower,0.68875
140,0.01720769,-0.01662015,lower,0.78379
141,0.01943705,-0.01753207,lower,0.85679
142,0.02185118,-0.01842619,lower,0.91127
143,0.02446996,-0.01930384,lower,0.95054
144,0.02731688,-0.02016591,lower,0.97691
145,0.03041938,-0.02101274,lower,0.99269
146,0.03380917,-0.02184398,lower,0.99946
147,0.03752271,-0.02265846,lower,0.99874
148,0.04160157,-0.02345406,lower,0.99168
149,0.04609147,-0.02422731,lower,0.9794
150,0.05103941,-0.02497295,lower,0.96266
151,0.05649004,-0.02568374,lower,0.94246
152,0.06248174,-0.02635062,lower,0.91941
153,0.06904195,-0.0269632,lower,0.89443
154,0.07618168,-0.02751044,lower,0.86813
155,0.08389131,-0.02798177,lower,0.84129
156,0.09213996,-0.02836836,lower,0.8145
157,0.1008792,-0.02866419,lower,0.7883
158,0.1100498,-0.02886663,lower,0.76309
159,0.1195892,-0.02897636,lower,0.73914
160,0.1294381,-0.02899678,lower,0.7166
161,0.1395438,-0.02893324,lower,0.69554
162,0.1498622,-0.02879227,lower,0.67593
163,0.1603572,-0.02858093,lower,0.65772
