face,surface,x,y,z,wss_x,wss_y,wss_z,tangent_x,tangent_y,tau_t_attached
0,lower,0.19887,-0.0573073,0.0,-0.25158822,0.014645436,3.2728713e-17,0.998299870760104,-0.05828694571136372,0.25201412524381583
1,lower,0.19661,-0.05717315,0.0,-0.25250159,0.015065343,3.3014298e-17,0.998191881987288,-0.060107958996092184,0.25295058434618867
2,lower,0.19435049999999998,-0.05703515,0.0,-0.253297,0.015770092,-1.6646889e-17,0.9980864694461176,-0.06183364382425112,0.2537874307030969
3,lower,0.19209199999999998,-0.05689325,0.0,-0.25407456,0.016153336,3.3585426e-17,0.9979766222541371,-0.06358192694644804,0.25458753141899954
4,lower,0.189834,-0.056747399999999996,0.0,-0.25493536,0.016686014,-8.9327875e-24,0.9978624698900068,-0.06534899528696057,0.2554808422421422
5,lower,0.1875775,-0.0565976,0.0,-0.25568075,0.017149459,3.4228099e-17,0.9977436161421473,-0.06713923180668198,0.25625523758609653
6,lower,0.18532300000000002,-0.056443850000000004,0.0,-0.25642879,0.017951496,1.7250576e-17,0.9976206273901266,-0.06894261240865754,0.25705627339157455
7,lower,0.18307,-0.0562861,0.0,-0.25728118,0.01818806,2.1167882e-21,0.9974918674469443,-0.07078117247691963,0.257923256909034
8,lower,0.180819,-0.05612425,0.0,-0.25804456,0.019010661,1.7588502e-17,0.9973575739157579,-0.07264894873894501,0.2587438008602416
9,lower,0.1785705,-0.055958350000000004,0.0,-0.2587814,0.019306229,5.4543763e-23,0.997218925713215,-0.07452794240673447,0.259500563225565
10,lower,0.1763245,-0.05578835,0.0,-0.25963168,0.019779498,0.0,0.9970741164401249,-0.07644086816058608,0.2603839899347658
11,lower,0.1740815,-0.0556142,0.0,-0.2603895,0.020678457,-1.8131733e-17,0.9969223952585987,-0.0783947564053767,0.26120920663954295
12,lower,0.1718425,-0.055435899999999996,0.0,-0.26113217,0.021063012,1.9946872e-23,0.9967647898253805,-0.08037383756151664,0.2619802676517398
13,lower,0.169607,-0.055253399999999994,0.0,-0.26181095,0.02198305,-1.8483434e-17,0.9966026001612309,-0.08236053273184678,0.2627320092297528
14,lower,0.167375,-0.055066699999999996,0.0,-0.26250832,0.022149361,1.8680236e-17,0.9964343886177613,-0.08437125802041891,0.26344108679819406
15,lower,0.1651475,-0.0548758,0.0,-0.26322171,0.023059002,1.8907121e-17,0.9962589192846191,-0.08641854977863755,0.2642297018490321
16,lower,0.1629245,-0.05468065,0.0,-0.26386936,0.023378134,1.9122641e-17,0.9960774734038006,-0.08848540544915386,0.2649029490831125
17,lower,0.1607055,-0.0544812,0.0,-0.26458901,0.024409666,-2.3482746e-21,0.9958882325687555,-0.09059044227224233,0.26571236396467446
18,lower,0.158492,-0.054277450000000005,0.0,-0.26517101,0.025030607,-1.9528235e-17,0.9956908738562507,-0.09273447966843863,0.2663495549841748
19,lower,0.156284,-0.054069400000000004,0.0,-0.26582555,0.025278513,0.0,0.9954879128535966,-0.09488843639975225,0.2670247605257402
20,lower,0.15408100000000002,-0.053856999999999995,0.0,-0.26646372,0.026122448,-6.2204285e-23,0.9952761535226902,-0.09708438715405514,0.2677410681499908
21,lower,0.1518845,-0.05364025,0.0,-0.26694493,0.0268197,0.0,0.9950562606529046,-0.09931282966192567,0.26828876414373537
22,lower,0.149694,-0.05341915,0.0,-0.26749767,0.027714848,-5.0176466e-21,0.9948302051096927,-0.10155226733759729,0.2689292675657818
