AoA_deg,time,surface,n_faces,Cf_min,Cf_median,Cf_max,n_Cf_negative,TE_connected_sep_x_over_c,TE_connected_negative_faces
0.0,1102,upper,438,-0.0066101990688404826,0.0052382106789441545,0.009462013632819758,8,,0
0.0,1102,lower,438,0.002058776107346508,0.0034612079826742354,0.01485727312259724,0,,0
2.0,1215,upper,438,-0.009654447499398948,0.005471334039682095,0.013115254732717916,5,,0
2.0,1215,lower,438,-0.001000691840749047,0.0034289235695451215,0.010326579943826979,1,,0
4.0,1309,upper,438,-0.0167935217496698,0.0055177135224336055,0.01817306956489184,6,,0
4.0,1309,lower,438,-0.01019978717403229,0.0033355408964240835,0.007179779817876295,9,,0
6.0,1461,upper,438,-0.024059647984458195,0.005422872374377501,0.024062199271518175,10,0.9829295,5
6.0,1461,lower,438,-0.019395105939380573,0.003221280189172487,0.005169561572996568,17,,0
8.0,1625,upper,438,-0.031517466605334936,0.005243756159650229,0.03153791377190694,21,0.9566175000000001,17
8.0,1625,lower,438,-0.02852828897521617,0.003136948722447566,0.0043945186241765065,25,,0
10.0,1774,upper,438,-0.038536100096503045,0.004965991349039122,0.03900923231652143,36,0.9170415,32
10.0,1774,lower,438,-0.0374652653071416,0.003046437378848972,0.005077812959473588,33,,0
12.0,2005,upper,438,-0.04484892075669861,0.004555786646751956,0.04618618179803023,59,0.856125,55
12.0,2005,lower,438,-0.045885620987048716,0.002971432143159867,0.005801867393080737,40,,0
14.0,3166,upper,438,-0.05065748109097822,0.004004703059863045,0.053057550612003034,91,0.7709465,87
14.0,3166,lower,438,-0.05397677089530899,0.0028607860315079583,0.006524284344839648,47,,0
14.5,9900,upper,438,-0.05212144108535451,0.0038523043438191034,0.05486467915127884,99,0.7495805,95
14.5,9900,lower,438,-0.05606211764836146,0.002827896402477755,0.006679376464944435,49,,0
15.0,16000,upper,438,-0.05322069482689528,0.0036297066651776503,0.056244461504392315,110,0.7201595000000001,106
15.0,16000,lower,438,-0.05767092629189725,0.0028094972336724965,0.006892327996286053,51,,0
15.5,12000,upper,438,-0.05424018042483052,0.003372071460873422,0.05753679431986756,122,0.6880094999999999,118
15.5,12000,lower,438,-0.059186869950345215,0.0027928534628211127,0.0070778184056176285,52,,0
16.0,12000,upper,438,-0.05524746711234701,0.0030739491820938316,0.058820704042490284,134,0.655805,130
16.0,12000,lower,438,-0.06069614023573146,0.0027747634011309847,0.00737983369389617,53,,0
