AoA_deg,NACA0012_SST_Status,NACA0012_SST_Representative,NACA4412_SST_Status,NACA4412_SST_Representative,NACA0012_CL_SST,NACA4412_CL_SST,Delta_CL_SST_4412_minus_0012,NACA0012_CD_SST,NACA4412_CD_SST,Delta_CD_SST_4412_minus_0012,NACA0012_L_over_D_SST,NACA4412_L_over_D_SST,Delta_L_over_D_SST_4412_minus_0012,NACA0012_Cm_SST_standard_sign,NACA4412_Cm_SST_standard_sign,Delta_Cm_SST_4412_minus_0012,NACA0012_CL_XFOIL,NACA4412_CL_XFOIL,Delta_CL_XFOIL_4412_minus_0012,NACA0012_CD_XFOIL,NACA4412_CD_XFOIL,Delta_CD_XFOIL_4412_minus_0012,NACA0012_Cm_XFOIL,NACA4412_Cm_XFOIL,NACA0012_pressure_drag_percent,NACA4412_pressure_drag_percent_snapshot,NACA0012_separation_assessed,NACA0012_TE_connected_separation,NACA0012_sep_x_over_c,NACA4412_TE_connected_separation,NACA4412_sep_x_over_c
0,FORMAL_CONVERGENCE,1770,FORMAL_CONVERGENCE,1102,0.000577918684,0.396798325,0.396220406316,0.0105487884,0.0126687337,0.0021199453,0.0547853139229,31.3210723657,31.2662870518,-4.45975816e-05,-0.0901534047,-0.0901088071184,-0,0.4541,0.4541,0.00533,0.00672,0.00139,0,-0.0964,18.590480864028788,31.942401870340696,True,False,,False,
2,FORMAL_CONVERGENCE,1242,FORMAL_CONVERGENCE,1215,0.199660119,0.595974116,0.396313997,0.0110956958,0.0147063087,0.0036106129,17.994375711,40.5250650015,22.5306892905,0.00271589292,-0.0876786386,-0.09039453152,0.1937,0.7247,0.531,0.0057,0.00629,0.00059,0.0077,-0.1066,22.939645811182846,41.09203402667149,False,,,False,
4,FORMAL_CONVERGENCE,1326,FORMAL_CONVERGENCE,1309,0.400071095,0.791239898,0.391168803,0.0125789199,0.0175476716,0.0049687517,31.8048845354,45.0908767862,13.2859922507,0.00521316481,-0.0847063417,-0.08991950651,0.4152,0.9141,0.4989,0.00724,0.00721,-3e-05,0.0088,-0.0993,33.01702053751277,50.898588535726134,False,,,False,
6,FORMAL_CONVERGENCE,1432,FORMAL_CONVERGENCE,1461,0.598561825,0.97850904,0.379947215,0.0149929678,0.0211399437,0.0061469759,39.9228380254,46.2872112569,6.36437323142,0.00776758076,-0.0807753867,-0.08854296746,0.6779,1.0918,0.4139,0.00982,0.00853,-0.00129,-0.0003,-0.0899,45.209204357322406,59.88540278113606,True,False,,True,0.9829295
8,FORMAL_CONVERGENCE,1576,FORMAL_CONVERGENCE,1625,0.791178706,1.15499375,0.363815044,0.0184056079,0.025675133,0.0072695251,42.9857416445,44.984917897,1.99917625248,0.0107863079,-0.0759083907,-0.0866946986,0.9432,1.2256,0.2824,0.01238,0.01178,-0.0006,-0.0107,-0.0733,57.013575885898064,67.83617723652274,False,,,True,0.9566175000000001
10,FORMAL_CONVERGENCE,1845,FORMAL_CONVERGENCE,1774,0.973897283,1.31584472,0.341947437,0.0229264556,0.0313558414,0.0084293858,42.4791908523,41.9648990826,-0.514291769768,0.0145377761,-0.0699212021,-0.0844589782,1.0884,1.3298,0.2414,0.01512,0.01639,0.00127,0.0035,-0.0541,67.17525677272356,74.65139320325311,False,,,True,0.9170415
12,FORMAL_CONVERGENCE,2350,FORMAL_CONVERGENCE,2005,1.14065128,1.45007675,0.30942547,0.0286933768,0.0384631781,0.0097698013,39.753121006,37.7003883098,-2.05273269613,0.019252093,-0.0623111062,-0.0815631992,1.2091,1.4283,0.2192,0.01885,0.02234,0.00349,0.0209,-0.0388,75.40331783887653,80.40608276518451,True,False,,True,0.856125
14,FORMAL_CONVERGENCE,3234,FORMAL_CONVERGENCE,3166,1.27913681,1.56476008,0.28562327,0.0362897327,0.0469718535,0.0106821208,35.2478983677,33.3127173702,-1.93518099748,0.0247839907,-0.0553365906,-0.0801205813,1.2723,1.4972,0.2249,0.02514,0.03233,0.00719,0.0418,-0.027,82.08646760566099,84.98079521618138,False,,,True,0.7709465
14.5,FORMAL_CONVERGENCE,4102,FORMAL_CONVERGENCE,9900,1.32799888,1.59390299,0.26590411,0.0372335706,0.0490992,0.0118656294,35.666707721,32.4629116157,-3.20379610535,0.024918588,-0.0540917594,-0.0790103474,1.289,1.5109,0.2219,0.02735,0.03558,0.00823,0.0447,-0.025,82.87676447168347,85.87759724157189,False,,,True,0.7495805
15,FORMAL_CONVERGENCE,5015,STABLE_ITERATIVE_PLATEAU_NOT_FORMAL,15001-16000,1.35940359,1.60833532733,0.24893173733,0.0394241644,0.0523796501698,0.0129554857698,34.4814813627,30.7053468688,-3.77613449394,0.0258851796,-0.052298732905,-0.078183912505,1.3001,1.5164,0.2163,0.03032,0.03982,0.0095,0.0468,-0.0232,84.2256461031016,87.0816781071958,False,,,True,0.7201595000000001
15.5,FORMAL_CONVERGENCE,5954,STABLE_ITERATIVE_PLATEAU_NOT_FORMAL,11001-12000,1.38447715,1.6199761007,0.2354989507,0.0420998867,0.0561151838734,0.0140152971734,32.8855314948,28.8687657935,-4.0167657013,0.0267994865,-0.0509153392879,-0.0777148257879,1.306,1.5238,0.2178,0.03425,0.04416,0.00991,0.0477,-0.0221,85.63236931255466,88.24982476649002,False,,,True,0.6880094999999999
16,FORMAL_CONVERGENCE,6913,STABLE_ITERATIVE_PLATEAU_NOT_FORMAL,11001-12000,1.40438553,1.63200065314,0.22761512314,0.0452356225,0.0605189138525,0.0152832913525,31.046008707,26.9667868977,-4.07922180928,0.0274067357,-0.0505755486146,-0.0779822843146,1.2985,1.5275,0.229,0.04024,0.04912,0.00888,0.047,-0.0213,87.03281556771623,89.25460132926759,True,True,0.779264,True,0.655805
