Airfoil,Model,AoA_deg,Status,Include_in_quantitative_comparison,Sensitivity_reporting_policy,Sensitivity_iteration_or_window,Sensitivity_n_rows,Cm_raw,CD,CL,SST_reporting_policy,SST_iteration_or_window,SST_Cm_raw,SST_CD,SST_CL,Delta_CL_pct_vs_SST,Delta_CD_pct_vs_SST,Delta_Cm_raw_absolute_vs_SST
NACA0012,SA,0.0,FORMAL,True,FINAL_FORMAL_ROW,1773,1,1.30012328e-06,0.011191815,1.77026759e-05,FINAL_FORMAL_ROW,1770,4.45975816e-05,0.0105487884,0.000577918684,,6.09573891917,-4.329745832e-05
NACA0012,SA,2.0,FORMAL,True,FINAL_FORMAL_ROW,1234,1,-1.71237620e-03,1.17764497e-02,2.03796647e-01,FINAL_FORMAL_ROW,1242,-0.00271589292,0.0110956958,0.199660119,2.07178480145,6.13529707619,0.00100351672
NACA0012,SA,4.0,FORMAL,True,FINAL_FORMAL_ROW,1352,1,-3.53348228e-03,1.33181026e-02,4.07040228e-01,FINAL_FORMAL_ROW,1326,-0.00521316481,0.0125789199,0.400071095,1.74197363596,5.87636065637,0.00167968253
NACA0012,SA,6.0,FORMAL,True,FINAL_FORMAL_ROW,1447,1,-5.61414960e-03,1.58730486e-02,6.07410168e-01,FINAL_FORMAL_ROW,1432,-0.00776758076,0.0149929678,0.598561825,1.47826717816,5.86995724756,0.00215343116
NACA0012,SA,8.0,FORMAL,True,FINAL_FORMAL_ROW,1562,1,-0.00814833968,0.0194900423,0.802036532,FINAL_FORMAL_ROW,1576,-0.0107863079,0.0184056079,0.791178706,1.37236074703,5.89186951005,0.00263796822
NACA0012,SA,10.0,FORMAL,True,FINAL_FORMAL_ROW,1738,1,-1.14010260e-02,2.42596873e-02,9.87044103e-01,FINAL_FORMAL_ROW,1845,-0.0145377761,0.0229264556,0.973897283,1.34991854167,5.8152543213,0.0031367501
NACA0012,SA,12.0,FORMAL,True,FINAL_FORMAL_ROW,2074,1,-1.52428469e-02,3.04747616e-02,1.15773371e+00,FINAL_FORMAL_ROW,2350,-0.019252093,0.0286933768,1.14065128,1.49760319385,6.20834840185,0.0040092461
NACA0012,SA,14.0,FORMAL,True,FINAL_FORMAL_ROW,3484,1,-0.0186689891,0.0376646374,1.31788668,FINAL_FORMAL_ROW,3234,-0.0247839907,0.0362897327,1.27913681,3.02937650586,3.78868786763,0.0061150016
NACA0012,SA,14.5,FORMAL,True,FINAL_FORMAL_ROW,4493,1,-1.96703298e-02,3.95390096e-02,1.35342227e+00,FINAL_FORMAL_ROW,4102,-0.024918588,0.0372335706,1.32799888,1.91441351216,6.19182894052,0.0052482582
NACA0012,SA,15.0,FORMAL,True,FINAL_FORMAL_ROW,5729,1,-2.05592936e-02,4.21174250e-02,1.38189942e+00,FINAL_FORMAL_ROW,5015,-0.0258851796,0.0394241644,1.35940359,1.65483085123,6.83149697905,0.005325886
NACA0012,SA,15.5,FORMAL,True,FINAL_FORMAL_ROW,6839,1,-2.10731925e-02,4.53568895e-02,1.40444554e+00,FINAL_FORMAL_ROW,5954,-0.0267994865,0.0420998867,1.38447715,1.44230549417,7.73636951379,0.005726294
NACA0012,SA,16.0,FORMAL,True,FINAL_FORMAL_ROW,4616,1,-0.0217392988,0.0484037496,1.41353283,FINAL_FORMAL_ROW,6913,-0.0274067357,0.0452356225,1.40438553,0.651338240433,7.00361114739,0.0056674369
NACA0012,SSTLM,0.0,FORMAL,True,FINAL_FORMAL_ROW,4319,1,-4.0151592e-06,0.00478616664,-1.0161703e-05,FINAL_FORMAL_ROW,1770,4.45975816e-05,0.0105487884,0.000577918684,,-54.6282809123,-4.86127408e-05
NACA0012,SSTLM,2.0,FORMAL,True,FINAL_FORMAL_ROW,3401,1,-5.92196853e-03,5.60082178e-03,1.96091311e-01,FINAL_FORMAL_ROW,1242,-0.00271589292,0.0110956958,0.199660119,-1.78744158717,-49.5225727079,-0.00320607561
NACA0012,SSTLM,4.0,FORMAL,True,FINAL_FORMAL_ROW,2825,1,-2.53416479e-03,8.18447687e-03,4.27681008e-01,FINAL_FORMAL_ROW,1326,-0.00521316481,0.0125789199,0.400071095,6.90125163879,-34.9349790358,0.00267900002
NACA0012,SSTLM,6.0,STABLE_NOT_FORMAL,True,FINAL_ITERATIVE_WINDOW_MEAN,11001-12000,1000,0.00428412867314,0.0127883594528,0.661728140536,FINAL_FORMAL_ROW,1432,-0.00776758076,0.0149929678,0.598561825,10.5530143918,-14.704282545,0.0120517094331
NACA0012,SSTLM,8.0,FORMAL,True,FINAL_FORMAL_ROW,1035,1,3.31109128e-04,1.76012125e-02,8.39665247e-01,FINAL_FORMAL_ROW,1576,-0.0107863079,0.0184056079,0.791178706,6.12839307129,-4.37038213772,0.011117417028
NACA0012,SSTLM,10.0,FORMAL,True,FINAL_FORMAL_ROW,621,1,-1.24429695e-02,2.16453002e-02,9.82407343e-01,FINAL_FORMAL_ROW,1845,-0.0145377761,0.0229264556,0.973897283,0.873814944199,-5.58810931071,0.0020948066
NACA0012,SSTLM,12.0,FORMAL,True,FINAL_FORMAL_ROW,702,1,-0.0206234378,0.0268312466,1.13969923,FINAL_FORMAL_ROW,2350,-0.019252093,0.0286933768,1.14065128,-0.0834654742157,-6.48975620046,-0.0013713448
NACA0012,SSTLM,14.0,FORMAL,True,FINAL_FORMAL_ROW,923,1,-2.58157298e-02,3.52664097e-02,1.27399919e+00,FINAL_FORMAL_ROW,3234,-0.0247839907,0.0362897327,1.27913681,-0.401647420341,-2.81986921331,-0.0010317391
NACA0012,SSTLM,14.5,FORMAL,True,FINAL_FORMAL_ROW,1041,1,-2.67858214e-02,3.79110679e-02,1.30029175e+00,FINAL_FORMAL_ROW,4102,-0.024918588,0.0372335706,1.32799888,-2.08638203068,1.81958724098,-0.0018672334
NACA0012,SSTLM,15.0,FORMAL,True,FINAL_FORMAL_ROW,1221,1,-2.76969012e-02,4.11155770e-02,1.31892148e+00,FINAL_FORMAL_ROW,5015,-0.0258851796,0.0394241644,1.35940359,-2.97793166781,4.29029410196,-0.0018117216
NACA0012,SSTLM,15.5,FORMAL,True,FINAL_FORMAL_ROW,1397,1,-2.80634140e-02,4.50057800e-02,1.33129296e+00,FINAL_FORMAL_ROW,5954,-0.0267994865,0.0420998867,1.38447715,-3.84146390571,6.90237795818,-0.0012639275
NACA0012,SSTLM,16.0,FORMAL,True,FINAL_FORMAL_ROW,1549,1,-0.0273686719,0.0498626033,1.33652273,FINAL_FORMAL_ROW,6913,-0.0274067357,0.0452356225,1.40438553,-4.83220586871,10.2286219229,3.80638e-05
NACA4412,SA,0.0,FORMAL,True,FINAL_FORMAL_ROW,1619,1,0.0924613558,0.0131997215,0.408415475,FINAL_FORMAL_ROW,1102,0.0901534047,0.0126687337,0.396798325,2.92772153209,4.19132497828,0.0023079511
NACA4412,SA,2.0,FORMAL,True,FINAL_FORMAL_ROW,1919,1,9.07730006e-02,1.51691076e-02,6.11799615e-01,FINAL_FORMAL_ROW,1215,0.0876786386,0.0147063087,0.595974116,2.65540038991,3.14694128514,0.003094362
