airfoil,model,aoa,SST_CL,MODEL_CL,abs_dCL,rel_dCL_pct,SST_CD,MODEL_CD,abs_dCD,rel_dCD_pct,model_final_iter
NACA0012,SA,0.0,0.000577918684,1.77026759e-05,0.0005602160081,96.93682236098115,0.0105487884,0.011191815,0.0006430266,6.095738919172942,1773.0
NACA0012,SA,2.0,0.199660119,0.203796647,0.004136528,2.071784801450509,0.0110956958,0.0117764497,0.0006807539,6.1352970761869745,1234.0
NACA0012,SA,4.0,0.400071095,0.407040228,0.006969133,1.7419736359608824,0.0125789199,0.0133181026,0.0007391826999999,5.876360656370811,1352.0
NACA0012,SA,6.0,0.598561825,0.607410168,0.008848343,1.478267178164935,0.0149929678,0.0158730486,0.0008800807999999,5.869957247557076,1447.0
NACA0012,SA,8.0,0.791178706,0.802036532,0.010857826,1.3723607470295176,0.0184056079,0.0194900423,0.0010844344,5.891869510052969,1562.0
NACA0012,SA,10.0,0.973897283,0.987044103,0.01314682,1.349918541666165,0.0229264556,0.0242596873,0.0013332316999999,5.815254321300322,1738.0
NACA0012,SA,12.0,1.14065128,1.15773371,0.01708243,1.4976031938525587,0.0286933768,0.0304747616,0.0017813848,6.208348401851401,2074.0
NACA0012,SA,14.0,1.27913681,1.31788668,0.0387498699999999,3.029376505864135,0.0362897327,0.0376646374,0.0013749046999999,3.788687867629288,3484.0
NACA0012,SA,14.5,1.32799888,1.35342227,0.02542339,1.9144135121559775,0.0372335706,0.0395390096,0.0023054389999999,6.19182894052068,4493.0
NACA0012,SSTLM,0.0,0.000577918684,-1.0161703e-05,0.000588080387,101.7583274743199,0.0105487884,0.00478616664,0.00576262176,54.62828091233681,4319.0
NACA0012,SSTLM,2.0,0.199660119,0.196091311,0.003568808,1.7874415871704488,0.0110956958,0.00560082178,0.0054948740199999,49.52257270787831,3401.0
NACA0012,SSTLM,4.0,0.400071095,0.427681008,0.0276099129999999,6.9012516387868486,0.0125789199,0.00818447687,0.00439444303,34.934979035839156,2825.0
NACA0012,SSTLM,8.0,0.791178706,0.839665247,0.048486541,6.128393071286736,0.0184056079,0.0176012125,0.0008043953999999,4.370382137717917,1035.0
NACA0012,SSTLM,10.0,0.973897283,0.982407343,0.0085100599999999,0.8738149441987904,0.0229264556,0.0216453002,0.0012811554,5.588109310712647,621.0
NACA0012,SSTLM,12.0,1.14065128,1.13969923,0.0009520499999999,0.0834654742157464,0.0286933768,0.0268312466,0.0018621301999999,6.489756200462258,702.0
NACA0012,SSTLM,14.0,1.27913681,1.27399919,0.0051376199999999,0.4016474203412185,0.0362897327,0.0352664097,0.0010233229999999,2.8198692133105725,923.0
NACA0012,SSTLM,14.5,1.32799888,1.30029175,0.02770713,2.0863820306836423,0.0372335706,0.0379110679,0.0006774972999999,1.8195872409829967,1041.0
NACA4412,SA,0.0,0.396798325,0.408415475,0.0116171499999999,2.9277215320906316,0.0126687337,0.0131997215,0.0005309878,4.191324978280981,1619.0
NACA4412,SA,2.0,0.595974116,0.611799615,0.0158254989999999,2.655400389905518,0.0147063087,0.0151691076,0.0004627989,3.1469412851370393,1919.0
NACA4412,SA,4.0,0.791239898,0.811517184,0.0202772859999998,2.562722892419145,0.0175476716,0.0181102029,0.0005625313,3.2057318647335644,1667.0
NACA4412,SA,6.0,0.97850904,1.00291065,0.0244016099999999,2.4937541711418385,0.0211399437,0.0220015061,0.0008615623999999,4.075518895539907,1567.0
NACA4412,SA,8.0,1.15499375,1.18816475,0.033171,2.87196359287659,0.025675133,0.0267088022,0.0010336692,4.025954607518489,1740.0
NACA4412,SA,10.0,1.31584472,1.36160489,0.0457601699999998,3.4776269041836394,0.0313558414,0.0326814612,0.0013256197999999,4.227664577994698,1897.0
NACA4412,SA,12.0,1.45007675,1.51489142,0.06481467,4.4697406533826625,0.0384631781,0.0400700439,0.0016068657999999,4.177672983294107,2138.0
NACA4412,SA,14.0,1.56476008,1.64271848,0.0779583999999999,4.982131190361144,0.0469718535,0.0489250674,0.0019532139,4.158264480663937,2853.0
NACA4412,SA,14.5,1.59390299,1.66823873,0.0743357399999999,4.663755602842554,0.0490992,0.0516697029,0.0025705029,5.23532542281748,3185.0
NACA4412,SSTLM,0.0,0.396798325,0.470570276,0.073771951,18.591800003188016,0.0126687337,0.0069564376,0.0057122961,45.08971642524935,2667.0
NACA4412,SSTLM,6.0,0.97850904,1.04577832,0.0672692799999998,6.874671285612228,0.0211399437,0.0157023784,0.0054375652999999,25.721758662961808,3389.0
NACA4412,SSTLM,8.0,1.15499375,1.22907521,0.0740814599999999,6.414013928646795,0.025675133,0.0205006722,0.0051744607999999,20.15358907780536,1604.0
NACA4412,SSTLM,12.0,1.45007675,1.4655772,0.015500449999999999,1.0689399716256396,0.0384631781,0.0367661487,0.001697029400000001,4.412088350026388,2005.0
